center_point,envelope
POINT (-74.0909436468 -9.851582746600002),"POLYGON ((-74.3409436468 -10.101582746600002, -73.8409436468 -10.101582746600002, -73.8409436468 -9.601582746600002, -74.3409436468 -9.601582746600002, -74.3409436468 -10.101582746600002))"
POINT (-74.0909436468 -9.351582746600002),"POLYGON ((-74.3409436468 -9.601582746600002, -73.8409436468 -9.601582746600002, -73.8409436468 -9.101582746600002, -74.3409436468 -9.101582746600002, -74.3409436468 -9.601582746600002))"
POINT (-74.0909436468 -8.851582746600002),"POLYGON ((-74.3409436468 -9.101582746600002, -73.8409436468 -9.101582746600002, -73.8409436468 -8.601582746600002, -74.3409436468 -8.601582746600002, -74.3409436468 -9.101582746600002))"
POINT (-74.0909436468 -8.351582746600002),"POLYGON ((-74.3409436468 -8.601582746600002, -73.8409436468 -8.601582746600002, -73.8409436468 -8.101582746600002, -74.3409436468 -8.101582746600002, -74.3409436468 -8.601582746600002))"
POINT (-74.0909436468 -7.851582746600002),"POLYGON ((-74.3409436468 -8.101582746600002, -73.8409436468 -8.101582746600002, -73.8409436468 -7.601582746600002, -74.3409436468 -7.601582746600002, -74.3409436468 -8.101582746600002))"
POINT (-74.0909436468 -7.351582746600002),"POLYGON ((-74.3409436468 -7.601582746600002, -73.8409436468 -7.601582746600002, -73.8409436468 -7.101582746600002, -74.3409436468 -7.101582746600002, -74.3409436468 -7.601582746600002))"
POINT (-74.0909436468 -6.851582746600002),"POLYGON ((-74.3409436468 -7.101582746600002, -73.8409436468 -7.101582746600002, -73.8409436468 -6.601582746600002, -74.3409436468 -6.601582746600002, -74.3409436468 -7.101582746600002))"
POINT (-74.0909436468 -6.351582746600002),"POLYGON ((-74.3409436468 -6.601582746600002, -73.8409436468 -6.601582746600002, -73.8409436468 -6.101582746600002, -74.3409436468 -6.101582746600002, -74.3409436468 -6.601582746600002))"
POINT (-74.0909436468 -5.851582746600002),"POLYGON ((-74.3409436468 -6.101582746600002, -73.8409436468 -6.101582746600002, -73.8409436468 -5.601582746600002, -74.3409436468 -5.601582746600002, -74.3409436468 -6.101582746600002))"
POINT (-73.5909436468 -9.851582746600002),"POLYGON ((-73.8409436468 -10.101582746600002, -73.3409436468 -10.101582746600002, -73.3409436468 -9.601582746600002, -73.8409436468 -9.601582746600002, -73.8409436468 -10.101582746600002))"
POINT (-73.5909436468 -9.351582746600002),"POLYGON ((-73.8409436468 -9.601582746600002, -73.3409436468 -9.601582746600002, -73.3409436468 -9.101582746600002, -73.8409436468 -9.101582746600002, -73.8409436468 -9.601582746600002))"
POINT (-73.5909436468 -8.851582746600002),"POLYGON ((-73.8409436468 -9.101582746600002, -73.3409436468 -9.101582746600002, -73.3409436468 -8.601582746600002, -73.8409436468 -8.601582746600002, -73.8409436468 -9.101582746600002))"
