,QV2M,RH2M,PS,T2M,T2M_MIN,T2M_MAX,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS10M_MIN,WS50M_MIN,T2M_MIN_MINIMO,T2M_MAX_MAXIMO,WS10M_MAX_MAXIMO,WS50M_MAX_MAXIMO,WS10M_MIN_MINIMO,WS50M_MIN_MINIMO
20000131,14.662580645161292,66.2316129032258,98.44774193548388,27.565161290322582,21.865806451612904,34.91483870967742,4.583548387096775,6.225483870967742,6.368064516129032,8.343870967741937,2.765483870967742,4.590322580645162,20.58,38.26,8.53,10.38,1.7,2.44
20010131,14.002021857923497,66.95811475409836,98.6756830601093,26.66002732240437,21.0379781420765,33.9827868852459,5.235327868852459,7.007568306010929,7.239453551912568,9.102459016393443,3.2226775956284155,5.115655737704918,16.53,38.7,10.16,12.84,0.09,0.47
20020131,13.33564383561644,61.07079452054795,98.708,27.615150684931507,21.560767123287672,35.45109589041096,5.354383561643836,7.019698630136986,7.354602739726027,9.346465753424658,3.364684931506849,5.06372602739726,16.8,39.58,10.51,13.01,0.22,0.44
20030131,13.722575342465753,64.19734246575342,98.7407397260274,27.158109589041093,21.301178082191782,34.65534246575343,5.285698630136986,7.047561643835617,7.4100821917808215,9.375534246575343,3.29841095890411,5.002821917808219,17.05,39.63,10.52,13.28,0.16,0.33
20040131,13.811424657534246,63.53939726027397,98.6984109589041,27.469561643835615,21.61586301369863,35.044,5.348109589041096,7.065315068493151,7.319780821917807,9.292821917808219,3.418301369863014,5.1091780821917805,17.12,39.72,10.26,12.77,0.79,0.9
20050131,13.955573770491803,65.68314207650273,98.70989071038251,27.02308743169399,21.29620218579235,34.38792349726776,5.40587431693989,7.233333333333333,7.470437158469945,9.4124043715847,3.516857923497268,5.371366120218579,17.37,39.51,10.79,13.41,0.28,0.08
20060131,13.816054794520547,63.879178082191785,98.68586301369862,27.362027397260274,21.495287671232877,34.96468493150685,5.587616438356164,7.374164383561644,7.586383561643836,9.564821917808219,3.5656712328767126,5.392164383561644,17.37,40.12,10.23,12.98,0.91,1.47
20070131,14.117095890410958,65.92145205479453,98.69427397260274,27.13917808219178,21.479780821917807,34.403068493150684,5.136054794520549,6.900191780821919,7.114657534246575,9.06,3.2346027397260277,4.985041095890411,17.12,39.84,9.96,12.45,0.05,0.1
20080131,13.648876712328768,63.906602739726026,98.69104109589043,27.12701369863014,21.28087671232877,34.70761643835617,5.616191780821917,7.40427397260274,7.670712328767123,9.611260273972603,3.599643835616438,5.448136986301369,17.44,39.25,10.87,13.18,0.36,0.62
20090131,14.040136612021858,66.3970218579235,98.65456284153005,26.943579234972677,21.361065573770492,34.20860655737705,5.11551912568306,6.907841530054645,7.068907103825136,9.070027322404371,3.2624590163934424,5.0395901639344265,16.65,39.09,10.34,12.85,0.23,0.16
20100131,15.094986301369863,73.51035616438355,98.69216438356165,26.123397260273975,21.163123287671233,32.5392602739726,4.533506849315069,6.301068493150685,6.385479452054794,8.178109589041096,2.788219178082192,4.6432602739726025,17.35,38.11,9.52,12.12,0.09,0.16
20110131,14.017890410958904,63.61432876712329,98.63246575342465,27.6093698630137,21.767041095890413,35.16213698630137,5.248602739726027,7.013534246575342,7.2630410958904115,9.202876712328768,3.4225205479452057,5.155808219178082,17.7,40.33,10.36,12.66,0.51,0.66
20120131,14.403479452054796,68.89917808219178,98.65687671232877,26.57731506849315,21.26235616438356,33.43515068493151,5.215205479452055,7.006520547945206,7.160164383561644,9.088904109589041,3.3824383561643834,5.228821917808219,17.19,38.96,10.44,13.09,0.08,0.17
20130131,12.805737704918032,57.443661202185794,98.69215846994535,28.08724043715847,21.756967213114756,36.2301912568306,5.95672131147541,7.63,7.962131147540983,10.049071038251366,3.9427049180327867,5.5875956284153006,17.72,40.01,11.42,14.19,1.3,1.56
20140131,13.468,60.820109589041095,98.6901095890411,27.807506849315068,21.771808219178084,35.604246575342465,5.614164383561644,7.276520547945205,7.544657534246576,9.469479452054795,3.612986301369863,5.300575342465754,17.47,40.05,10.09,12.82,0.19,0.41
20150131,13.43104109589041,61.851068493150684,98.73989041095889,27.448547945205476,21.412575342465754,35.17923287671233,5.560301369863014,7.286739726027397,7.46786301369863,9.428904109589041,3.5647397260273967,5.288191780821918,17.86,39.25,10.55,13.03,1.06,1.38
20160131,13.514821917808218,60.770794520547945,98.74786301369863,27.985397260273974,21.87317808219178,35.89547945205479,5.580849315068493,7.232328767123288,7.547287671232877,9.495013698630137,3.5001643835616436,5.2256986301369865,17.77,40.49,10.69,13.13,0.34,0.38
20170131,13.431311475409835,59.62338797814208,98.72740437158471,28.204535519125685,21.960792349726773,36.24147540983606,5.799344262295082,7.512759562841531,7.802131147540983,9.9101912568306,3.8042076502732236,5.484863387978142,18.17,39.47,10.71,13.46,0.8,1.16
20180131,13.735232876712328,62.29120547945206,98.71134246575342,27.709835616438358,21.868739726027396,35.435835616438354,5.692301369863014,7.41827397260274,7.672082191780822,9.673232876712328,3.677698630136986,5.4396438356164385,18.23,39.82,10.87,13.76,0.12,0.2
20190131,13.962,64.57536986301369,98.72347945205479,27.35832876712329,21.611150684931506,34.76786301369863,5.337397260273973,7.081534246575343,7.250794520547945,9.206246575342467,3.482931506849315,5.190054794520548,17.5,40.06,10.61,13.19,0.13,0.08
20200131,13.962,62.616767123287666,98.72104109589041,27.96150684931507,22.05619178082192,35.70435616438356,5.371945205479452,6.9842739726027405,7.387561643835617,9.301260273972602,3.3815068493150684,4.985753424657534,17.3,40.14,10.88,13.46,0.21,0.38
20210131,14.44191256830601,65.85729508196721,98.69459016393444,27.537295081967212,21.91931693989071,34.838196721311476,5.125491803278689,6.810601092896174,7.1289890710382515,9.106448087431694,3.1376775956284155,4.83672131147541,17.33,39.61,10.09,12.65,0.11,0.13
20220131,14.025589041095891,62.67958904109589,98.67693150684931,28.01986301369863,22.02104109589041,35.65882191780822,5.111068493150685,6.762301369863013,7.021123287671233,9.018356164383562,3.158958904109589,4.808219178082192,19.01,39.55,10.0,12.42,0.52,0.8
20230131,14.566794520547946,68.98591780821918,98.69397260273973,26.77827397260274,21.373753424657533,33.73353424657534,4.8538356164383565,6.598082191780822,6.785808219178083,8.722301369863013,3.0655068493150686,4.817945205479452,16.62,38.98,9.75,12.3,0.1,0.19
20240131,15.765714285714287,71.79453781512605,98.63142857142857,27.27109243697479,22.351764705882353,33.84117647058824,3.8114285714285714,5.532605042016806,5.500252100840336,7.396722689075631,2.2852941176470587,3.901848739495798,19.33,38.9,8.33,10.28,0.17,0.33
