;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20000131;14.662580645161292;66.2316129032258;98.44774193548388;27.565161290322585;21.865806451612904;34.91483870967742;4.583548387096775;6.225483870967742;6.368064516129032;8.343870967741937;2.765483870967742;4.590322580645162;20.58;38.26;8.53;10.38;1.7;2.44;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010131;14.002021857923497;66.95811475409836;98.6756830601093;26.66002732240437;21.0379781420765;33.9827868852459;5.235327868852459;7.007568306010929;7.239453551912568;9.102459016393444;3.2226775956284155;5.115655737704918;16.53;38.7;10.16;12.84;0.09;0.47;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20020131;13.33564383561644;61.07079452054795;98.708;27.615150684931507;21.560767123287672;35.45109589041096;5.354383561643836;7.019698630136986;7.354602739726027;9.346465753424658;3.364684931506849;5.06372602739726;16.8;39.58;10.51;13.01;0.22;0.44;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20030131;13.722575342465753;64.19734246575342;98.7407397260274;27.158109589041093;21.301178082191782;34.65534246575343;5.285698630136986;7.047561643835617;7.410082191780821;9.375534246575343;3.29841095890411;5.002821917808219;17.05;39.63;10.52;13.28;0.16;0.33;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20040131;13.811424657534246;63.53939726027397;98.6984109589041;27.46956164383561;21.61586301369863;35.044;5.348109589041096;7.065315068493151;7.319780821917807;9.29282191780822;3.418301369863014;5.1091780821917805;17.12;39.72;10.26;12.77;0.79;0.9;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20050131;13.955573770491805;65.68314207650273;98.70989071038252;27.02308743169399;21.29620218579235;34.38792349726776;5.40587431693989;7.233333333333333;7.470437158469945;9.4124043715847;3.516857923497268;5.371366120218579;17.37;39.51;10.79;13.41;0.28;0.08;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20060131;13.816054794520548;63.879178082191785;98.68586301369862;27.362027397260277;21.49528767123288;34.96468493150685;5.587616438356164;7.374164383561644;7.586383561643836;9.56482191780822;3.5656712328767126;5.392164383561644;17.37;40.12;10.23;12.98;0.91;1.47;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20070131;14.117095890410958;65.92145205479453;98.69427397260274;27.13917808219178;21.479780821917807;34.403068493150684;5.136054794520549;6.900191780821919;7.114657534246575;9.06;3.234602739726028;4.985041095890411;17.12;39.84;9.96;12.45;0.05;0.1;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20080131;13.648876712328768;63.906602739726026;98.69104109589044;27.12701369863014;21.28087671232877;34.70761643835617;5.616191780821917;7.40427397260274;7.670712328767123;9.611260273972604;3.599643835616438;5.448136986301369;17.44;39.25;10.87;13.18;0.36;0.62;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20090131;14.040136612021858;66.3970218579235;98.65456284153004;26.94357923497268;21.36106557377049;34.20860655737705;5.11551912568306;6.907841530054645;7.068907103825136;9.070027322404371;3.2624590163934424;5.0395901639344265;16.65;39.09;10.34;12.85;0.23;0.16;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20100131;15.094986301369865;73.51035616438355;98.69216438356165;26.123397260273972;21.163123287671237;32.5392602739726;4.533506849315069;6.301068493150685;6.385479452054794;8.178109589041096;2.788219178082192;4.6432602739726025;17.35;38.11;9.52;12.12;0.09;0.16;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20110131;14.017890410958904;63.61432876712329;98.63246575342464;27.6093698630137;21.767041095890413;35.16213698630137;5.248602739726027;7.013534246575342;7.2630410958904115;9.202876712328768;3.4225205479452057;5.155808219178082;17.7;40.33;10.36;12.66;0.51;0.66;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
