;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20000131;14.662580645161292;66.2316129032258;98.44774193548388;27.565161290322585;21.865806451612904;34.91483870967742;4.583548387096775;6.225483870967742;6.368064516129032;8.343870967741937;2.765483870967742;4.590322580645162;20.58;38.26;8.53;10.38;1.7;2.44;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20000331;15.4335;71.08466666666666;98.53366666666668;27.05433333333333;21.957;33.6505;3.8496666666666655;5.576333333333333;5.7043333333333335;7.46;2.295666666666667;3.854833333333333;20.25;38.48;7.44;9.14;0.09;0.47;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20000531;15.742131147540984;76.88934426229508;98.62081967213116;25.78819672131148;21.09688524590164;31.8427868852459;4.141803278688525;6.184426229508197;6.107213114754098;7.80983606557377;2.6606557377049183;4.747049180327869;18.91;35.25;8.34;10.41;1.15;1.52;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20000731;14.27393442622951;72.36180327868853;98.80852459016393;25.342950819672133;20.289016393442623;32.187704918032786;5.135245901639344;7.128032786885246;7.158524590163935;9.01311475409836;3.0927868852459017;5.324754098360656;17.51;34.67;10.16;12.84;1.64;2.52;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20000930;13.215245901639344;67.11573770491803;98.83983606557376;25.63819672131148;19.751967213114757;33.4027868852459;6.059016393442623;7.911147540983606;8.066393442622951;9.930491803278688;3.809180327868853;5.998852459016393;16.53;36.17;9.63;11.63;1.86;3.87;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20001130;12.540819672131148;58.138688524590165;98.62868852459016;27.64229508196721;20.92950819672131;36.33081967213114;6.456229508196721;8.038852459016393;8.546557377049181;10.529180327868852;3.9942622950819673;5.787049180327869;18.55;38.24;9.84;11.9;2.2;3.9;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010131;12.848870967741936;56.399193548387096;98.62112903225808;28.470967741935485;22.199516129032254;36.43645161290323;5.739032258064516;7.180322580645162;7.819032258064516;9.833225806451612;3.4643548387096774;4.963225806451613;19.76;38.7;9.38;12.07;1.09;1.34;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010331;13.916101694915254;61.0935593220339;98.56271186440678;28.31169491525424;22.477288135593223;36.01254237288135;4.206610169491525;5.740847457627118;6.062881355932203;8.138813559322033;2.556779661016949;3.874745762711864;19.64;38.77;8.7;10.88;0.98;1.21;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010531;14.509344262295082;66.36213114754099;98.66409836065574;27.40655737704918;21.845737704918037;34.590327868852455;4.275737704918033;5.971147540983607;6.107868852459016;8.111147540983607;2.57688524590164;4.187049180327869;20.12;37.83;8.82;11.09;0.22;0.44;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010731;13.208688524590164;65.77885245901639;98.90540983606556;25.95868852459017;20.181311475409835;33.56213114754098;5.289672131147541;7.172786885245902;7.225901639344263;9.012459016393445;3.315245901639344;5.610327868852459;17.87;35.0;8.96;11.08;1.7;3.38;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
