;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20230530;13.912005613378554;64.24831013916501;98.69636533738742;27.37773125950181;21.58779090164893;34.865352590340315;5.327388609519355;7.056912641796281;7.302159981288739;9.26101976377032;3.391018594316454;5.133687288036486;16.53;40.49;11.42;14.19;0.05;0.08;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20230530;14.535736171208049;64.71347093907146;100.14634194831014;28.06300900479476;22.64384984212373;34.996823763302544;5.414757338323002;7.125379487779207;7.260057303239386;9.17323353993685;3.38909133434686;5.158119518185007;17.78;40.33;11.84;14.78;0.02;0.05;POINT (-37 -5.75);POLYGON ((-37.125 -5.875, -36.875 -5.875, -36.875 -5.625, -37.125 -5.625, -37.125 -5.875))
20230530;14.535736171208049;64.71347093907146;100.14634194831014;28.06300900479476;22.64384984212373;34.996823763302544;5.414757338323002;7.125379487779207;7.260057303239386;9.17323353993685;3.38909133434686;5.158119518185007;17.78;40.33;11.84;14.78;0.02;0.05;POINT (-37 -5.5);POLYGON ((-37.125 -5.625, -36.875 -5.625, -36.875 -5.375, -37.125 -5.375, -37.125 -5.625))
20230530;16.197078704245122;71.28041047830662;100.6921681674658;27.686371184656764;24.38333411296924;31.791217401473517;6.410671266518535;7.822336568822361;7.81428370950766;9.543145830896972;5.012244181967022;6.258384984212372;20.57;35.34;12.47;15.12;0.15;0.17;POINT (-37 -5.25);POLYGON ((-37.125 -5.375, -36.875 -5.375, -36.875 -5.125, -37.125 -5.125, -37.125 -5.375))
20230530;16.197078704245122;71.28041047830662;100.6921681674658;27.686371184656764;24.38333411296924;31.791217401473517;6.410671266518535;7.822336568822361;7.81428370950766;9.543145830896972;5.012244181967022;6.258384984212372;20.57;35.34;12.47;15.12;0.15;0.17;POINT (-37 -5);POLYGON ((-37.125 -5.125, -36.875 -5.125, -36.875 -4.875, -37.125 -4.875, -37.125 -5.125))
20230530;13.912005613378554;64.24831013916501;98.69636533738742;27.37773125950181;21.58779090164893;34.865352590340315;5.327388609519355;7.056912641796281;7.302159981288739;9.26101976377032;3.391018594316454;5.133687288036486;16.53;40.49;11.42;14.19;0.05;0.08;POINT (-36.75 -6);POLYGON ((-36.875 -6.125, -36.625 -6.125, -36.625 -5.875, -36.875 -5.875, -36.875 -6.125))
20230530;14.535736171208049;64.71347093907146;100.14634194831014;28.06300900479476;22.64384984212373;34.996823763302544;5.414757338323002;7.125379487779207;7.260057303239386;9.17323353993685;3.38909133434686;5.158119518185007;17.78;40.33;11.84;14.78;0.02;0.05;POINT (-36.75 -5.75);POLYGON ((-36.875 -5.875, -36.625 -5.875, -36.625 -5.625, -36.875 -5.625, -36.875 -5.875))
20230530;14.535736171208049;64.71347093907146;100.14634194831014;28.06300900479476;22.64384984212373;34.996823763302544;5.414757338323002;7.125379487779207;7.260057303239386;9.17323353993685;3.38909133434686;5.158119518185007;17.78;40.33;11.84;14.78;0.02;0.05;POINT (-36.75 -5.5);POLYGON ((-36.875 -5.625, -36.625 -5.625, -36.625 -5.375, -36.875 -5.375, -36.875 -5.625))
20230530;16.197078704245122;71.28041047830662;100.6921681674658;27.686371184656764;24.38333411296924;31.791217401473517;6.410671266518535;7.822336568822361;7.81428370950766;9.543145830896972;5.012244181967022;6.258384984212372;20.57;35.34;12.47;15.12;0.15;0.17;POINT (-36.75 -5.25);POLYGON ((-36.875 -5.375, -36.625 -5.375, -36.625 -5.125, -36.875 -5.125, -36.875 -5.375))
20230530;16.197078704245122;71.28041047830662;100.6921681674658;27.686371184656764;24.38333411296924;31.791217401473517;6.410671266518535;7.822336568822361;7.81428370950766;9.543145830896972;5.012244181967022;6.258384984212372;20.57;35.34;12.47;15.12;0.15;0.17;POINT (-36.75 -5);POLYGON ((-36.875 -5.125, -36.625 -5.125, -36.625 -4.875, -36.875 -4.875, -36.875 -5.125))
