,QV2M,RH2M,PS,T2M,T2M_MIN,T2M_MAX,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS10M_MIN,WS50M_MIN,T2M_MIN_MINIMO,T2M_MAX_MAXIMO,WS10M_MAX_MAXIMO,WS50M_MAX_MAXIMO,WS10M_MIN_MINIMO,WS50M_MIN_MINIMO
20000131,15.985161290322582,70.78064516129032,100.12645161290322,27.49967741935484,24.4358064516129,32.01032258064516,5.415806451612903,7.029677419354838,7.035161290322581,8.046774193548387,3.7970967741935486,6.009032258064516,23.62,33.5,9.01,10.32,2.31,3.86
20000229,16.56793103448276,73.93275862068967,100.26620689655172,27.390689655172416,24.629310344827587,31.588275862068965,4.384827586206897,5.8613793103448275,5.965862068965517,7.172413793103448,2.853793103448276,4.54,23.8,34.02,7.84,9.44,0.39,0.35
20000331,16.55354838709677,72.3967741935484,100.12677419354839,27.6858064516129,24.842903225806452,31.989032258064515,5.5035483870967745,7.347741935483871,7.014193548387096,8.263870967741935,3.9693548387096773,6.409677419354838,24.01,33.98,8.26,9.77,2.39,4.13
20000430,17.767999999999997,81.73966666666666,100.19866666666667,26.671666666666667,24.432333333333336,30.062666666666665,4.714,6.661666666666666,6.3629999999999995,7.89,3.234666666666667,5.384333333333333,23.76,32.06,8.23,9.77,0.75,1.04
20000531,16.938709677419357,81.69129032258064,100.33612903225807,25.899032258064516,23.463548387096775,29.473548387096773,5.358064516129032,7.583548387096775,7.0603225806451615,8.54967741935484,3.983225806451613,6.606774193548387,22.06,30.69,8.81,10.73,3.02,5.34
20000630,16.493666666666666,82.22466666666666,100.47666666666667,25.384,23.058,28.924666666666667,5.376333333333333,7.532,7.285,8.9,3.6416666666666666,6.049333333333333,21.8,30.47,8.88,11.16,0.88,1.11
20000731,16.23677419354839,85.51645161290324,100.47387096774193,24.40258064516129,22.09,27.85,5.76516129032258,7.9719354838709675,7.668064516129032,9.441612903225806,4.1977419354838705,6.6974193548387095,20.55,28.94,9.41,11.66,2.9,5.26
20000831,15.108387096774194,79.82774193548387,100.58774193548386,24.475806451612904,21.674838709677417,28.54741935483871,6.136774193548387,8.400645161290322,8.176451612903225,9.925161290322581,4.3503225806451615,6.933548387096774,19.65,29.91,9.77,11.98,2.81,4.88
20000930,15.258000000000001,75.54833333333333,100.466,25.601333333333333,22.74866666666667,29.86866666666667,6.529333333333333,8.642333333333333,8.438666666666666,10.061666666666667,4.703,7.286666666666666,21.15,30.85,9.71,11.62,3.35,5.91
20001031,14.250645161290322,67.50032258064518,100.44677419354838,26.470322580645163,23.18967741935484,31.433225806451613,6.973548387096774,8.925483870967742,8.62483870967742,10.154838709677419,5.2293548387096775,7.6090322580645156,22.24,32.27,10.77,12.91,4.16,6.2
