,QV2M,RH2M,PS,T2M,T2M_MIN,T2M_MAX,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS10M_MIN,WS50M_MIN,T2M_MIN_MINIMO,T2M_MAX_MAXIMO,WS10M_MAX_MAXIMO,WS50M_MAX_MAXIMO,WS10M_MIN_MINIMO,WS50M_MIN_MINIMO
20000131,14.662580645161292,66.2316129032258,98.44774193548388,27.565161290322582,21.865806451612904,34.91483870967742,4.583548387096775,6.225483870967742,6.368064516129032,8.343870967741937,2.765483870967742,4.590322580645162,20.58,38.26,8.53,10.38,1.7,2.44
20000731,15.148296703296703,73.45824175824175,98.655,26.056373626373627,21.10967032967033,32.55434065934066,4.378461538461538,6.300219780219781,6.326758241758242,8.097802197802197,2.685164835164835,4.646538461538461,17.51,38.48,10.16,12.84,0.09,0.47
20010131,12.86820652173913,60.52864130434783,98.69614130434783,27.257119565217394,20.967065217391305,35.39570652173913,6.082880434782608,7.707228260869566,8.142228260869565,10.096195652173913,3.7543478260869563,5.579673913043479,16.53,38.7,9.84,12.07,1.09,1.34
20010731,13.877624309392266,64.44817679558011,98.71237569060773,27.21364640883978,21.490662983425413,34.70740331491713,4.594917127071823,6.301049723756906,6.47,8.423922651933701,2.819171270718232,4.564917127071824,17.87,38.77,8.96,11.09,0.22,0.44
20020131,12.802499999999998,57.74847826086956,98.7036956521739,28.01010869565217,21.629728260869566,36.18266304347826,6.1014673913043485,7.726630434782609,8.224782608695651,10.253967391304348,3.901304347826087,5.554402173913044,16.8,39.58,10.51,13.01,1.85,2.34
20020731,15.048729281767956,72.92895027624309,98.74596685082874,26.06977900552486,21.01171270718232,32.60889502762431,4.337127071823204,6.280662983425414,6.360497237569061,8.174254143646408,2.718729281767956,4.576519337016575,17.05,36.97,8.96,11.08,0.16,0.33
20030131,12.41804347826087,55.608097826086954,98.73559782608694,28.22869565217391,21.585923913043477,36.668423913043476,6.218804347826087,7.80195652173913,8.442554347826087,10.557228260869564,3.8686413043478263,5.422173913043478,17.59,39.63,10.52,13.28,0.52,0.42
20030731,14.828342541436463,70.38331491712707,98.72740331491713,26.533314917127072,21.273701657458563,33.465580110497235,4.518342541436464,6.377900552486189,6.364143646408841,8.20585635359116,2.8905524861878455,4.720828729281768,17.12,37.46,9.41,11.59,0.79,0.9
20040131,12.811086956521738,56.807065217391305,98.66989130434781,28.390543478260867,21.952445652173914,36.5966847826087,6.164347826086956,7.741521739130435,8.259836956521738,10.362065217391304,3.937445652173913,5.491195652173913,18.21,39.72,10.26,12.77,1.3,1.52
20040731,15.585824175824175,76.75741758241759,98.74357142857144,25.614120879120883,20.89032967032967,31.752527472527472,4.4362087912087915,6.492637362637363,6.427032967032967,8.200000000000001,2.8594505494505493,4.989945054945054,17.37,34.58,10.47,13.41,0.96,1.29
20050131,12.343043478260869,54.729239130434784,98.67657608695653,28.416739130434784,21.69766304347826,36.99467391304348,6.365,7.965978260869565,8.5025,10.611630434782608,4.167119565217392,5.748641304347826,17.96,39.51,10.79,13.4,0.28,0.08
20050731,15.142375690607734,70.76707182320442,98.70480662983425,26.83779005524862,21.75,33.553756906077346,4.688066298342541,6.605027624309392,6.684419889502761,8.594806629834254,2.874254143646409,4.803756906077348,17.37,40.12,9.37,12.03,0.91,1.47
