,QV2M,RH2M,PS,T2M,T2M_MIN,T2M_MAX,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS10M_MIN,WS50M_MIN,T2M_MIN_MINIMO,T2M_MAX_MAXIMO,WS10M_MAX_MAXIMO,WS50M_MAX_MAXIMO,WS10M_MIN_MINIMO,WS50M_MIN_MINIMO
20000131,15.234516129032258,66.36193548387097,99.90129032258065,28.241935483870968,23.136774193548387,34.83709677419355,4.819354838709677,6.3993548387096775,6.541612903225806,8.253870967741936,2.9664516129032257,4.885483870967741,21.95,38.05,8.49,10.13,1.98,3.14
20000430,16.430222222222223,74.68111111111111,99.991,27.288666666666668,23.017777777777777,32.852666666666664,4.000555555555556,5.791777777777778,5.737222222222223,7.431777777777778,2.4356666666666666,4.2796666666666665,20.83,38.56,7.91,9.49,0.12,0.3
20000731,15.035434782608695,72.30934782608696,100.21315217391304,26.383804347826086,21.534021739130434,32.70086956521739,4.9533695652173915,6.880543478260869,6.844565217391305,8.62445652173913,3.102934782608696,5.134239130434783,18.76,35.69,9.1,11.59,0.44,0.86
20001031,13.398260869565219,63.91652173913043,100.25815217391305,26.982065217391302,20.971521739130434,34.612826086956524,6.253152173913043,8.054782608695652,8.198478260869566,10.181304347826087,3.865108695652174,5.80445652173913,17.78,37.58,9.55,11.6,1.91,4.08
20010131,13.416630434782608,57.11967391304348,100.0416304347826,28.984456521739133,23.104130434782608,36.42206521739131,6.01945652173913,7.477826086956522,7.919891304347826,9.806847826086956,3.614891304347826,5.22304347826087,21.1,38.59,9.76,11.91,1.33,1.52
20010430,15.199325842696629,66.4005617977528,100.04202247191012,28.2638202247191,23.391573033707864,34.752471910112355,4.317640449438202,5.868764044943821,6.0355056179775275,7.915168539325843,2.6631460674157306,4.173595505617977,20.91,38.63,8.45,10.63,0.71,0.77
20010731,13.918369565217391,63.9,100.28,27.514565217391304,21.797826086956523,34.669021739130436,5.174021739130435,6.946521739130435,6.958804347826088,8.80913043478261,3.2041304347826083,5.157826086956521,18.82,37.9,8.79,10.88,1.52,1.59
20011031,12.098804347826086,54.33391304347826,100.29032608695651,28.352391304347826,21.68880434782609,36.76032608695652,6.507282608695652,8.224782608695651,8.529565217391305,10.787826086956523,4.032826086956521,5.743913043478261,17.8,39.05,10.3,13.1,2.81,3.42
20020131,14.738478260869567,62.5725,100.02271739130435,28.89,23.636413043478264,35.71217391304348,5.8925,7.477826086956522,7.765217391304348,9.613369565217392,3.6490217391304345,5.3275,20.82,39.1,10.42,12.91,1.62,2.76
20020430,16.426404494382023,75.91134831460674,100.06067415730337,26.951235955056177,22.62370786516854,32.51269662921349,4.0815730337078655,5.917640449438202,5.925393258426967,7.671797752808988,2.5802247191011234,4.390898876404495,20.61,37.89,8.31,10.18,0.75,1.2
20020731,14.974130434782607,71.3229347826087,100.32532608695652,26.5995652173913,21.543260869565216,33.028369565217396,4.735217391304348,6.694673913043478,6.635217391304349,8.480652173913043,2.958152173913043,4.968260869565217,18.42,36.33,9.09,11.15,0.9,1.34
20021031,12.264673913043477,56.07163043478261,100.27402173913042,27.996304347826086,21.342391304347824,36.29423913043478,6.595543478260869,8.392391304347827,8.720543478260868,11.028586956521739,3.9494565217391306,5.816304347826088,18.58,38.62,11.01,13.27,1.85,2.07
20030131,14.07858695652174,58.80771739130435,100.11673913043478,29.259891304347825,23.722934782608696,36.44434782608696,5.889782608695652,7.335108695652174,7.850543478260869,9.654239130434783,3.511413043478261,5.082717391304348,21.96,38.63,10.27,12.84,1.01,1.04
20030430,16.75820224719101,76.01966292134831,100.06573033707866,27.276853932584267,23.060337078651685,32.89,3.9758426966292135,5.768764044943819,5.6201123595505615,7.367865168539326,2.44,4.223820224719101,21.13,37.19,8.23,10.28,0.78,1.02
20030731,14.431847826086956,67.56434782608696,100.28097826086957,26.99423913043478,21.61445652173913,33.801086956521736,5.1132608695652175,7.020217391304348,6.891956521739131,8.8075,3.352065217391304,5.266521739130434,18.15,35.69,9.5,11.74,1.94,2.7
20031031,12.363369565217392,54.44641304347826,100.2483695652174,28.68489130434783,21.971847826086957,37.012173913043476,6.590108695652174,8.349347826086957,8.598260869565218,10.963369565217391,4.079239130434783,5.8374999999999995,19.38,39.01,10.34,13.1,1.94,3.35
20040131,14.531847826086958,60.98478260869565,99.99521739130434,29.20608695652174,23.940326086956524,36.10260869565217,5.801847826086957,7.290434782608696,7.720217391304348,9.60304347826087,3.548804347826087,5.075,22.51,39.53,9.96,12.49,1.14,1.49
20040430,16.921,78.27455555555555,100.04766666666667,26.810333333333332,22.489555555555555,32.336777777777776,4.238222222222222,6.258555555555556,6.090888888888888,7.830777777777778,2.7697777777777777,4.802555555555556,20.09,35.29,7.99,10.06,0.86,1.06
20040731,15.25804347826087,73.87739130434782,100.32782608695652,26.22630434782609,21.520869565217392,32.313152173913046,4.734782608695652,6.718478260869565,6.666956521739131,8.41445652173913,3.0384782608695655,5.141739130434783,19.04,35.18,9.4,12.0,1.93,3.23
20041031,12.712173913043477,57.26315217391304,100.26945652173914,28.17771739130435,21.712391304347825,36.34880434782609,6.608478260869566,8.391304347826088,8.711195652173913,10.93054347826087,4.123043478260869,6.015760869565218,18.83,38.23,10.49,13.19,1.81,2.07
20050131,13.35554347826087,54.94239130434782,99.99434782608695,29.595978260869565,23.581521739130434,37.319673913043474,6.218695652173913,7.7208695652173915,8.080869565217393,10.043804347826086,3.884782608695652,5.512282608695652,21.57,39.23,10.6,13.35,2.07,2.28
