;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20000131;14.662580645161292;66.2316129032258;98.44774193548388;27.565161290322585;21.865806451612904;34.91483870967742;4.583548387096775;6.225483870967742;6.368064516129032;8.343870967741937;2.765483870967742;4.590322580645162;20.58;38.26;8.53;10.38;1.7;2.44;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20000430;15.82388888888889;74.294;98.54255555555557;26.604777777777777;21.828777777777777;32.77455555555556;3.811444444444444;5.635888888888889;5.689;7.420888888888888;2.305333333333333;4.0456666666666665;19.8;38.48;7.44;9.16;0.09;0.47;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20000731;14.487391304347826;72.64065217391304;98.765;25.519891304347823;20.406195652173917;32.33891304347826;4.933152173913044;6.950108695652173;6.950652173913044;8.76;3.0567391304347824;5.234347826086957;17.51;35.25;10.16;12.84;1.64;2.52;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20001031;13.001413043478262;65.00282608695652;98.8070652173913;26.04315217391304;19.906739130434783;34.09978260869565;6.202934782608695;8.007065217391304;8.224565217391303;10.1475;3.916413043478261;6.009891304347826;16.53;37.69;9.81;11.9;1.86;3.87;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010131;12.735;56.054456521739134;98.58521739130435;28.47108695652174;22.027391304347827;36.69163043478261;5.962826086956523;7.407391304347826;8.059891304347826;10.044891304347829;3.592282608695652;5.149456521739131;19.76;38.7;9.84;12.07;1.09;1.34;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010430;14.434157303370789;65.06887640449439;98.58977528089888;27.717078651685394;22.29112359550562;34.95303370786517;4.123033707865169;5.723033707865169;5.99191011235955;8.020786516853933;2.512696629213483;3.882247191011236;19.64;38.77;8.82;11.09;0.63;0.96;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20010731;13.339239130434782;63.84771739130434;98.83097826086956;26.726630434782606;20.71630434782609;34.46978260869565;5.051413043478261;6.860217391304348;6.932499999999999;8.81391304347826;3.1156521739130434;5.225326086956522;17.87;37.83;8.96;11.08;0.22;0.44;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20011031;11.580869565217393;54.32804347826088;98.8375;27.621413043478263;20.59565217391304;36.48978260869565;6.431630434782609;8.101195652173914;8.55163043478261;10.732391304347829;4.155217391304348;5.833804347826088;16.8;39.58;9.93;12.57;2.21;2.93;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20020131;14.02413043478261;61.16891304347826;98.56989130434783;28.398804347826086;22.66380434782609;35.87554347826087;5.771304347826088;7.352065217391305;7.897934782608695;9.77554347826087;3.6473913043478254;5.275;19.51;39.16;10.51;13.01;1.85;2.34;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
20020430;15.792921348314604;75.2391011235955;98.6105617977528;26.258988764044947;21.50629213483146;32.3223595505618;3.925842696629213;5.829438202247192;5.973595505617977;7.7797752808988765;2.438314606741573;4.088539325842697;19.4;36.97;8.34;10.4;0.16;0.33;POINT (-37 -6);POLYGON ((-37.125 -6.125, -36.875 -6.125, -36.875 -5.875, -37.125 -5.875, -37.125 -6.125))
