;QV2M;RH2M;PS;T2M;T2M_MIN;T2M_MAX;WS10M;WS50M;WS10M_MAX;WS50M_MAX;WS10M_MIN;WS50M_MIN;T2M_MIN_MINIMO;T2M_MAX_MAXIMO;WS10M_MAX_MAXIMO;WS50M_MAX_MAXIMO;WS10M_MIN_MINIMO;WS50M_MIN_MINIMO;center_point;envelope
20230530;12.70995088293772;61.42816863524735;95.51145713951628;26.162342416091413;20.20059174365564;33.23886329084307;4.4636253069816485;6.087696175885855;6.232326043737542;8.287050637352348;2.797007367559355;4.262858145246172;14.68;39.85;10.95;13.6;0.05;0.01;POINT (-38.76498999999785 -7.802539999998771);POLYGON ((-39.01498999999785 -8.052539999998771, -38.51498999999785 -8.052539999998771, -38.51498999999785 -7.552539999998771, -39.01498999999785 -7.552539999998771, -39.01498999999785 -8.052539999998771))
20230530;12.943684949128713;62.5205952520172;95.62094257981528;26.161528476201337;20.233860367208425;33.06532452344728;4.0790878259852565;5.703976143141145;5.843877909016491;7.760940240907526;2.472490936732552;3.983048766226182;14.44;39.66;10.82;13.32;0.01;0.05;POINT (-38.76498999999785 -7.302539999998771);POLYGON ((-39.01498999999785 -7.552539999998771, -38.51498999999785 -7.552539999998771, -38.51498999999785 -7.052539999998771, -39.01498999999785 -7.052539999998771, -39.01498999999785 -7.552539999998771))
20230530;13.23586247222549;61.4956905625073;96.91177172260556;27.039982458191897;21.105097649397525;33.78025494094236;4.174496550111089;5.868548707753481;6.113778505437977;8.062592679218836;2.390811600982339;4.007150040930885;15.27;40.01;10.98;13.68;0.02;0.04;POINT (-38.76498999999785 -6.802539999998771);POLYGON ((-39.01498999999785 -7.052539999998771, -38.51498999999785 -7.052539999998771, -38.51498999999785 -6.552539999998771, -39.01498999999785 -6.552539999998771, -39.01498999999785 -7.052539999998771))
20230530;13.522653490819865;61.43567652906094;97.8272412583323;27.53262776283457;21.748009589521452;34.08851596304509;4.2297637703192725;5.942041866448362;6.338112501461811;8.311909718161607;2.3283101391649987;3.976518535843757;15.88;40.0;10.81;13.61;0.02;0.01;POINT (-38.76498999999785 -6.302539999998771);POLYGON ((-39.01498999999785 -6.552539999998771, -38.51498999999785 -6.552539999998771, -38.51498999999785 -6.052539999998771, -39.01498999999785 -6.052539999998771, -39.01498999999785 -6.552539999998771))
20230530;12.790306396912657;62.4525365454333;95.98021985732682;26.117818968541496;20.217259969594064;33.45355280084176;4.952678049350961;6.580974155069605;6.790823295521011;8.889115892877985;3.190808092620742;4.661606829610559;14.15;40.36;11.24;14.04;0.02;0.02;POINT (-38.26498999999785 -8.302539999998771);POLYGON ((-38.51498999999785 -8.552539999998771, -38.01498999999785 -8.552539999998771, -38.01498999999785 -8.052539999998771, -38.51498999999785 -8.052539999998771, -38.51498999999785 -8.552539999998771))
20230530;12.68746696292834;62.55175768915908;95.16303356332575;25.856765290608987;19.79857677464608;33.28330604607632;4.518597824815839;6.112578645772425;6.249283124780728;8.181626710326286;2.909831598643437;4.359589521693377;14.23;39.87;11.05;13.72;0.02;0.01;POINT (-38.26498999999785 -7.802539999998771);POLYGON ((-38.51498999999785 -8.052539999998771, -38.01498999999785 -8.052539999998771, -38.01498999999785 -7.552539999998771, -38.51498999999785 -7.552539999998771, -38.51498999999785 -8.052539999998771))
20230530;12.756961758858631;61.83269442170504;95.40600982341276;26.16540404631013;20.038894866097344;33.45254356215629;4.4671862940006966;6.095045023973802;6.293662729505299;8.238108993100212;2.842143608934614;4.310477137176929;14.59;39.51;10.95;13.66;0.02;0.02;POINT (-38.26498999999785 -7.302539999998771);POLYGON ((-38.51498999999785 -7.552539999998771, -38.01498999999785 -7.552539999998771, -38.01498999999785 -7.052539999998771, -38.51498999999785 -7.052539999998771, -38.51498999999785 -7.552539999998771))
20230530;13.187042451175351;60.23908665653133;97.41920009355636;27.49587533621776;21.28417144193641;34.591640743772565;4.286109226991016;5.940026897438902;6.244210033914148;8.238700736755938;2.585498772073431;4.072323704829847;15.24;40.31;10.23;12.8;0.02;0.02;POINT (-38.26498999999785 -6.802539999998771);POLYGON ((-38.51498999999785 -7.052539999998771, -38.01498999999785 -7.052539999998771, -38.01498999999785 -6.552539999998771, -38.51498999999785 -6.552539999998771, -38.51498999999785 -7.052539999998771))
20230530;13.408872646474194;61.70631622032513;97.61076365337388;27.33035317506701;21.31903870892275;34.19991229096004;4.347816629633953;6.013148169804734;6.3907496199274885;8.38612326043741;2.5222266401590465;4.0665208747514745;15.35;39.77;10.42;13.33;0.02;0.02;POINT (-38.26498999999785 -6.302539999998771);POLYGON ((-38.51498999999785 -6.552539999998771, -38.01498999999785 -6.552539999998771, -38.01498999999785 -6.052539999998771, -38.51498999999785 -6.052539999998771, -38.51498999999785 -6.552539999998771))
20230530;12.660713366857676;64.2251584609986;94.63859665536206;25.301986902116592;19.31186527891455;33.01190971816139;4.8146439012981;6.417469301836067;6.650757806104555;8.556806221494554;3.191631388141736;4.621285229797689;13.33;39.31;10.98;13.77;0.01;0.02;POINT (-37.76498999999785 -7.802539999998771);POLYGON ((-38.01498999999785 -8.052539999998771, -37.51498999999785 -8.052539999998771, -37.51498999999785 -7.552539999998771, -38.01498999999785 -7.552539999998771, -38.01498999999785 -8.052539999998771))
