;center_point;envelope
1;POINT (-38.86498999999785 -7.902539999998771);POLYGON ((-39.11498999999785 -8.152539999998771, -38.61498999999785 -8.152539999998771, -38.61498999999785 -7.652539999998771, -39.11498999999785 -7.652539999998771, -39.11498999999785 -8.152539999998771))
2;POINT (-38.86498999999785 -7.402539999998771);POLYGON ((-39.11498999999785 -7.652539999998771, -38.61498999999785 -7.652539999998771, -38.61498999999785 -7.152539999998771, -39.11498999999785 -7.152539999998771, -39.11498999999785 -7.652539999998771))
3;POINT (-38.86498999999785 -6.902539999998771);POLYGON ((-39.11498999999785 -7.152539999998771, -38.61498999999785 -7.152539999998771, -38.61498999999785 -6.652539999998771, -39.11498999999785 -6.652539999998771, -39.11498999999785 -7.152539999998771))
4;POINT (-38.86498999999785 -6.402539999998771);POLYGON ((-39.11498999999785 -6.652539999998771, -38.61498999999785 -6.652539999998771, -38.61498999999785 -6.152539999998771, -39.11498999999785 -6.152539999998771, -39.11498999999785 -6.652539999998771))
7;POINT (-38.36498999999785 -7.902539999998771);POLYGON ((-38.61498999999785 -8.152539999998771, -38.11498999999785 -8.152539999998771, -38.11498999999785 -7.652539999998771, -38.61498999999785 -7.652539999998771, -38.61498999999785 -8.152539999998771))
8;POINT (-38.36498999999785 -7.402539999998771);POLYGON ((-38.61498999999785 -7.652539999998771, -38.11498999999785 -7.652539999998771, -38.11498999999785 -7.152539999998771, -38.61498999999785 -7.152539999998771, -38.61498999999785 -7.652539999998771))
9;POINT (-38.36498999999785 -6.902539999998771);POLYGON ((-38.61498999999785 -7.152539999998771, -38.11498999999785 -7.152539999998771, -38.11498999999785 -6.652539999998771, -38.61498999999785 -6.652539999998771, -38.61498999999785 -7.152539999998771))
10;POINT (-38.36498999999785 -6.402539999998771);POLYGON ((-38.61498999999785 -6.652539999998771, -38.11498999999785 -6.652539999998771, -38.11498999999785 -6.152539999998771, -38.61498999999785 -6.152539999998771, -38.61498999999785 -6.652539999998771))
11;POINT (-38.36498999999785 -5.902539999998771);POLYGON ((-38.61498999999785 -6.152539999998771, -38.11498999999785 -6.152539999998771, -38.11498999999785 -5.652539999998771, -38.61498999999785 -5.652539999998771, -38.61498999999785 -6.152539999998771))
13;POINT (-37.86498999999785 -7.902539999998771);POLYGON ((-38.11498999999785 -8.152539999998771, -37.61498999999785 -8.152539999998771, -37.61498999999785 -7.652539999998771, -38.11498999999785 -7.652539999998771, -38.11498999999785 -8.152539999998771))
14;POINT (-37.86498999999785 -7.402539999998771);POLYGON ((-38.11498999999785 -7.652539999998771, -37.61498999999785 -7.652539999998771, -37.61498999999785 -7.152539999998771, -38.11498999999785 -7.152539999998771, -38.11498999999785 -7.652539999998771))
15;POINT (-37.86498999999785 -6.902539999998771);POLYGON ((-38.11498999999785 -7.152539999998771, -37.61498999999785 -7.152539999998771, -37.61498999999785 -6.652539999998771, -38.11498999999785 -6.652539999998771, -38.11498999999785 -7.152539999998771))
16;POINT (-37.86498999999785 -6.402539999998771);POLYGON ((-38.11498999999785 -6.652539999998771, -37.61498999999785 -6.652539999998771, -37.61498999999785 -6.152539999998771, -38.11498999999785 -6.152539999998771, -38.11498999999785 -6.652539999998771))
17;POINT (-37.86498999999785 -5.902539999998771);POLYGON ((-38.11498999999785 -6.152539999998771, -37.61498999999785 -6.152539999998771, -37.61498999999785 -5.652539999998771, -38.11498999999785 -5.652539999998771, -38.11498999999785 -6.152539999998771))
18;POINT (-37.36498999999785 -8.402539999998771);POLYGON ((-37.61498999999785 -8.652539999998771, -37.11498999999785 -8.652539999998771, -37.11498999999785 -8.152539999998771, -37.61498999999785 -8.152539999998771, -37.61498999999785 -8.652539999998771))
19;POINT (-37.36498999999785 -7.902539999998771);POLYGON ((-37.61498999999785 -8.152539999998771, -37.11498999999785 -8.152539999998771, -37.11498999999785 -7.652539999998771, -37.61498999999785 -7.652539999998771, -37.61498999999785 -8.152539999998771))
20;POINT (-37.36498999999785 -7.402539999998771);POLYGON ((-37.61498999999785 -7.652539999998771, -37.11498999999785 -7.652539999998771, -37.11498999999785 -7.152539999998771, -37.61498999999785 -7.152539999998771, -37.61498999999785 -7.652539999998771))
21;POINT (-37.36498999999785 -6.902539999998771);POLYGON ((-37.61498999999785 -7.152539999998771, -37.11498999999785 -7.152539999998771, -37.11498999999785 -6.652539999998771, -37.61498999999785 -6.652539999998771, -37.61498999999785 -7.152539999998771))
