;center_point;envelope
0;POINT (-38.75600954629476 -6.993073003887387);POLYGON ((-38.74998999999785 -6.997378789807396, -38.75063999999838 -6.996909999998024, -38.75832999999875 -6.998059999998077, -38.76463999999942 -6.993489999998928, -38.76061 -6.98964999999771, -38.75152999999773 -6.988179999998465, -38.75110537555024 -6.987539999998752, -38.74998999999785 -6.987539999998752, -38.74998999999785 -6.997378789807396))
1;POINT (-38.75534027933779 -6.948623599963949);MULTIPOLYGON (((-38.75110537555024 -6.987539999998752, -38.74998999999785 -6.98585889012055, -38.74998999999785 -6.987539999998752, -38.75110537555024 -6.987539999998752)), ((-38.74998999999785 -6.959392205027677, -38.75694999999905 -6.957769999999073, -38.76498999999785 -6.947539999999208, -38.75536 -6.939729999998235, -38.7560674773131 -6.937539999998751, -38.74998999999785 -6.937539999998751, -38.74998999999785 -6.959392205027677)))
2;POINT (-38.75497714158762 -6.919161533226972);POLYGON ((-38.7560674773131 -6.937539999998751, -38.75713999999789 -6.934219999999186, -38.76204999999936 -6.926139999997758, -38.75840999999855 -6.924879999998666, -38.75856999999814 -6.916219999999157, -38.76485999999932 -6.910509999997885, -38.75591999999779 -6.903189999999086, -38.74998999999785 -6.901643043477436, -38.74998999999785 -6.937539999998751, -38.7560674773131 -6.937539999998751))
3;POINT (-38.70673994948579 -7.606561718962651);POLYGON ((-38.69998999999785 -7.627425929861388, -38.70504999999866 -7.621639999999388, -38.71475999999893 -7.621509999999034, -38.71723999999813 -7.626479999998992, -38.71461999999883 -7.615869999997813, -38.71793999999863 -7.608949999998003, -38.71266999999898 -7.6079499999978, -38.7107906261496 -7.587539999998761, -38.69998999999785 -7.587539999998761, -38.69998999999785 -7.627425929861388))
4;POINT (-38.70416520145494 -7.584843230490026);POLYGON ((-38.7107906261496 -7.587539999998761, -38.71066999999857 -7.586229999998977, -38.7022599999982 -7.580609999999069, -38.69998999999785 -7.580802456520781, -38.69998999999785 -7.587539999998761, -38.7107906261496 -7.587539999998761))
5;POINT (-38.72073195751756 -7.001037042332005);POLYGON ((-38.69998999999785 -7.024279918440163, -38.71315999999933 -7.017679999999018, -38.71676 -7.016539999998713, -38.73023 -7.011629999999059, -38.74998999999785 -6.997378789807396, -38.74998999999785 -6.987539999998752, -38.69998999999785 -6.987539999998752, -38.69998999999785 -7.024279918440163))
6;POINT (-38.72403597686656 -6.962114933620297);POLYGON ((-38.74998999999785 -6.98585889012055, -38.74251999999797 -6.974599999997736, -38.74772 -6.966299999998228, -38.74660999999833 -6.960179999998218, -38.74998999999785 -6.959392205027677, -38.74998999999785 -6.937539999998751, -38.69998999999785 -6.937539999998751, -38.69998999999785 -6.987539999998752, -38.74998999999785 -6.987539999998752, -38.74998999999785 -6.98585889012055))
7;POINT (-38.7234082959591 -6.914433509877345);POLYGON ((-38.74998999999785 -6.901643043477436, -38.72992999999769 -6.896409999999378, -38.73117999999886 -6.88886999999886, -38.72916399999987 -6.887539999998751, -38.69998999999785 -6.887539999998751, -38.69998999999785 -6.937539999998751, -38.74998999999785 -6.937539999998751, -38.74998999999785 -6.901643043477436))
8;POINT (-38.70811129687323 -6.881834714806256);POLYGON ((-38.72916399999987 -6.887539999998751, -38.72829999999885 -6.886969999997746, -38.71365999999944 -6.885749999997643, -38.71380999999928 -6.87637999999788, -38.70877999999902 -6.874019999999291, -38.70005999999921 -6.876199999998789, -38.69998999999785 -6.8761448469365, -38.69998999999785 -6.887539999998751, -38.72916399999987 -6.887539999998751))
9;POINT (-38.66315314929684 -7.648922218481416);POLYGON ((-38.64998999999786 -7.676734222935771, -38.65105999999832 -7.676669999998921, -38.65035999999782 -7.668159999999261, -38.65830999999889 -7.6619, -38.66323999999804 -7.657119999998031, -38.66957999999795 -7.660079999997834, -38.67242999999871 -7.65838999999869, -38.67861999999877 -7.64614999999867, -38.68442726562382 -7.637539999998761, -38.64998999999786 -7.637539999998761, -38.64998999999786 -7.676734222935771))
10;POINT (-38.67440965616404 -7.611872027124628);POLYGON ((-38.68442726562382 -7.637539999998761, -38.68638999999894 -7.634629999998651, -38.69563999999809 -7.632399999998597, -38.69998999999785 -7.627425929861388, -38.69998999999785 -7.587539999998761, -38.64998999999786 -7.587539999998761, -38.64998999999786 -7.637539999998761, -38.68442726562382 -7.637539999998761))
11;POINT (-38.66642577678667 -7.574610994347084);POLYGON ((-38.69998999999785 -7.580802456520781, -38.6884599999994 -7.581779999998616, -38.67948999999862 -7.574319999997897, -38.67410999999811 -7.568919999997888, -38.65496999999777 -7.565139999998792, -38.65877999999793 -7.560209999997824, -38.65321999999833 -7.554159999997864, -38.65612999999939 -7.545789999998306, -38.65235999999823 -7.539269999999306, -38.65218219039411 -7.53753999999876, -38.64998999999786 -7.53753999999876, -38.64998999999786 -7.587539999998761, -38.69998999999785 -7.587539999998761, -38.69998999999785 -7.580802456520781))
12;POINT (-38.65120009970801 -7.527667663393303);POLYGON ((-38.65218219039411 -7.53753999999876, -38.65113999999812 -7.527399999999034, -38.65429999999833 -7.521819999998115, -38.64998999999786 -7.519348863078326, -38.64998999999786 -7.53753999999876, -38.65218219039411 -7.53753999999876))
13;POINT (-38.68503733325842 -7.188279999998936);POLYGON ((-38.68090661190785 -7.187539999998755, -38.68747999999869 -7.189759999999296, -38.68672538786873 -7.187539999998755, -38.68090661190785 -7.187539999998755))
14;POINT (-38.6649781049934 -7.162902139907684);POLYGON ((-38.64998999999786 -7.183681609036946, -38.67305999999917 -7.184889999998632, -38.68090661190785 -7.187539999998755, -38.68672538786873 -7.187539999998755, -38.68265999999858 -7.175579999999172, -38.67677999999796 -7.170529999999417, -38.67635999999766 -7.167169999998805, -38.68483999999808 -7.160939999997936, -38.67493999999897 -7.155319999998028, -38.67457999999897 -7.143409999998767, -38.67571024844579 -7.137539999998754, -38.64998999999786 -7.137539999998754, -38.64998999999786 -7.183681609036946))
15;POINT (-38.65962926522935 -7.118942125491119);POLYGON ((-38.67571024844579 -7.137539999998754, -38.67705999999816 -7.130529999998544, -38.6681899999985 -7.116919999998572, -38.66179999999804 -7.109779999998864, -38.65679999999884 -7.09386, -38.65872064220114 -7.087539999998754, -38.64998999999786 -7.087539999998754, -38.64998999999786 -7.137539999998754, -38.67571024844579 -7.137539999998754))
