;center_point;envelope
0;POINT (-73.87235844203779 -7.63130066938162);POLYGON ((-73.84024991999999 -7.684234328275883, -73.84461192000001 -7.676118, -73.86254711999999 -7.67694204, -73.88560511999999 -7.65567999, -73.88880083999999 -7.63164999, -73.90902708 -7.62477597, -73.932777 -7.608411, -73.93882916341478 -7.601583009999999, -73.84024991999999 -7.601583009999999, -73.84024991999999 -7.684234328275883))
1;POINT (-73.89706950592493 -7.487012793346149);POLYGON ((-73.93882916341478 -7.601583009999999, -73.96883388000001 -7.56773199, -73.98383292 -7.566579, -73.99024992 -7.54451397, -73.98810503999999 -7.53165099, -73.96930691999999 -7.53201603, -73.95055308000001 -7.52772501, -73.94273315999999 -7.51651299, -73.92969504 -7.47796599, -73.91981 -7.46567802, -73.92791808 -7.45204104, -73.93185396 -7.42318902, -73.94474808 -7.40616102, -73.96763688 -7.360191, -73.963944 -7.34763798, -73.95911388 -7.34552604, -73.95127884 -7.34746698, -73.94411411999999 -7.36133904, -73.93682915999999 -7.35283296, -73.93138992 -7.35230196, -73.91000304000001 -7.37807499, -73.87661808 -7.37965701, -73.86741612 -7.37770797, -73.86038784 -7.36920603, -73.85275403999999 -7.34728599, -73.84024991999999 -7.341566005425438, -73.84024991999999 -7.601583009999999, -73.93882916341478 -7.601583009999999))
2;POINT (-73.44489053728923 -8.251334121636731);POLYGON ((-73.34024991999999 -8.468808880461127, -73.34766396000001 -8.470956960000001, -73.36555488 -8.46376398, -73.375137 -8.467202970000001, -73.37727396 -8.462754990000001, -73.38230784 -8.468618040000001, -73.38955716 -8.468783009999999, -73.40219784 -8.44777197, -73.40721803999999 -8.41955598, -73.412865 -8.410991040000001, -73.42205795999999 -8.407386989999999, -73.42925292 -8.410105980000001, -73.44300096000001 -8.40765798, -73.45852704000001 -8.39854701, -73.48249800000001 -8.39214297, -73.486557 -8.38619901, -73.48638888000001 -8.378477999999999, -73.50472404 -8.379108, -73.51671492 -8.370027990000001, -73.53744516 -8.34586902, -73.53016596000001 -8.312535, -73.54061207999999 -8.29539999, -73.53689616 -8.270270010000001, -73.55094984 -8.250828029999999, -73.55858616 -8.24564799, -73.560744 -8.23568697, -73.57213584 -8.230185990000001, -73.57805891999999 -8.214504030000001, -73.57986396 -8.209322009999999, -73.59425388 -8.205784019999999, -73.58696712 -8.18676396, -73.58583096 -8.173140030000001, -73.59175116 -8.14269402, -73.58342003999999 -8.12766096, -73.59304636517717 -8.101583009999999, -73.34024991999999 -8.101583009999999, -73.34024991999999 -8.468808880461127))
3;POINT (-73.54119406375837 -7.827854625071538);POLYGON ((-73.59304636517717 -8.101583009999999, -73.59444612 -8.097791040000001, -73.60755192000001 -8.086878, -73.61642592 -8.069672969999999, -73.63157688 -8.061543, -73.62958104000001 -8.05086, -73.62393911999999 -8.03974302, -73.62425196 -8.028835020000001, -73.64036591999999 -8.008119000000001, -73.64997216 -8.00291601, -73.66388688000001 -8.00857899, -73.67849784000001 -8.004805019999999, -73.68916392 -7.97175297, -73.69810487999999 -7.96058397, -73.71788903999999 -7.96013001, -73.72925712 -7.96943898, -73.73175012 -7.96839498, -73.73481012000001 -7.96173804, -73.74699287999999 -7.95294396, -73.74697092 -7.93562301, -73.75141115999999 -7.92376101, -73.77249996 -7.90237296, -73.77058403999999 -7.89723, -73.75314312 -7.89232203, -73.76661684 -7.87059396, -73.76164308 -7.85802798, -73.75685903999999 -7.85853099, -73.74252312 -7.87308903, -73.71349992 -7.87584996, -73.70005104000001 -7.86917997, -73.68960491999999 -7.85392002, -73.68416603999999 -7.844643, -73.68738516000001 -7.82100297, -73.68239 -7.79004504, -73.68430284 -7.77644001, -73.69157988000001 -7.76778102, -73.71372312 -7.75585701, -73.74053196 -7.73409501, -73.786644 -7.72282998, -73.80958607999999 -7.72304499, -73.82216591999999 -7.71788304, -73.84024991999999 -7.684234328275883, -73.84024991999999 -7.601583009999999, -73.34024991999999 -7.601583009999999, -73.34024991999999 -8.101583009999999, -73.59304636517717 -8.101583009999999))
4;POINT (-73.57017971898551 -7.362904461160624);POLYGON ((-73.84024991999999 -7.341566005425438, -73.83008484 -7.33691601, -73.81761084 -7.33538097, -73.79345016000001 -7.342308, -73.77008796 -7.33192497, -73.76416811999999 -7.33212504, -73.75963716 -7.33524498, -73.76438807999999 -7.34785596, -73.755882 -7.34688603, -73.71778104000001 -7.32828096, -73.70030088 -7.30429497, -73.69991388 -7.293159, -73.71619308 -7.26760197, -73.71335999999999 -7.23662298, -73.72439603999999 -7.221321, -73.74519395999999 -7.21037799, -73.75566816 -7.19825697, -73.75911804 -7.17127398, -73.77575004000001 -7.15662801, -73.77816888 -7.145874, -73.79358587999999 -7.133085, -73.79258687999999 -7.12426896, -73.80098316 -7.111458, -73.79617104 -7.10296596, -73.79445372791078 -7.101583009999999, -73.34024991999999 -7.101583009999999, -73.34024991999999 -7.601583009999999, -73.84024991999999 -7.601583009999999, -73.84024991999999 -7.341566005425438))
5;POINT (-73.51876827107954 -6.901901159134519);POLYGON ((-73.79445372791078 -7.101583009999999, -73.77370488 -7.08487398, -73.73814984000001 -7.04495799, -73.72620683999999 -7.02215703, -73.72945116 -7.00649802, -73.73801015999999 -6.99893802, -73.73781216 -6.98175603, -73.74228192 -6.96489201, -73.75400603999999 -6.94154097, -73.75231583999999 -6.93270702, -73.74093084 -6.90917904, -73.72086984000001 -6.88872096, -73.71634716 -6.870033, -73.71095184000001 -6.86228202, -73.70662103999999 -6.83928504, -73.69675884 -6.83903304, -73.68989688000001 -6.83393904, -73.68095916 -6.81770601, -73.66621000000001 -6.80608098, -73.64797596 -6.77788002, -73.64223107999999 -6.76178298, -73.61522892000001 -6.74093502, -73.60651 -6.73870797, -73.58397984 -6.72435504, -73.57592304000001 -6.726105, -73.55919996 -6.72058701, -73.54986408000001 -6.70628403, -73.51584192 -6.67698399, -73.49764104 -6.671502, -73.48192703999999 -6.67080603, -73.47550716000001 -6.66497799, -73.45806516 -6.665175, -73.43644896000001 -6.65070804, -73.42769915999999 -6.65188002, -73.41211691999999 -6.64172298, -73.4045 -6.64256196, -73.38011796000001 -6.63465699, -73.37864196 -6.61692096, -73.37417004 -6.61070502, -73.35928404000001 -6.60218796, -73.3588589673608 -6.601583009999999, -73.34024991999999 -6.601583009999999, -73.34024991999999 -7.101583009999999, -73.79445372791078 -7.101583009999999))
6;POINT (-73.34808664200094 -6.597899802869789);POLYGON ((-73.3588589673608 -6.601583009999999, -73.35391788 -6.59455101, -73.34024991999999 -6.593054954833624, -73.34024991999999 -6.601583009999999, -73.3588589673608 -6.601583009999999))
7;POINT (-72.9731669694475 -9.288054414264089);POLYGON ((-72.84024991999999 -9.410746222016011, -72.94344408000001 -9.41093802, -73.20772116000001 -9.41170896, -73.21233312 -9.41135004, -73.21256388 -9.407612970000001, -73.19496312 -9.39540096, -73.19328084 -9.370962, -73.18808783999999 -9.360594000000001, -73.17916596000001 -9.35595099, -73.15897607999999 -9.35247699, -73.15073099999999 -9.33671502, -73.13965091999999 -9.32945499, -73.12954788 -9.313560989999999, -73.10211695999999 -9.30622698, -73.10218104 -9.300539970000001, -73.11290292 -9.28739304, -73.11342203999999 -9.279918990000001, -73.09831788 -9.268574040000001, -73.07813916000001 -9.23686902, -73.05848784 -9.22644702, -73.04756688000001 -9.236799, -73.04199011999999 -9.23705496, -73.02351888 -9.228023009999999, -73.02147588 -9.22050099, -73.00751904000001 -9.21515904, -73.00428192 -9.20348604, -72.99623195999999 -9.19852101, -72.99512603999999 -9.19420101, -73.01609892 -9.18422496, -73.01797488 -9.177318, -73.00424987999999 -9.16510104, -72.97593587999999 -9.15410799, -72.95887691999999 -9.138194009999999, -72.94446684 -9.103889970000001, -72.94485362477492 -9.101583009999999, -72.84024991999999 -9.101583009999999, -72.84024991999999 -9.410746222016011))
8;POINT (-72.97819188566928 -8.787218523119435);POLYGON ((-72.94485362477492 -9.101583009999999, -72.94798116 -9.082928969999999, -72.94134708 -9.06631299, -72.94494204 -9.051834960000001, -72.947097 -9.030814019999999, -72.95664708 -9.01594998, -72.95517792 -9.009204029999999, -72.94617108 -9.004287959999999, -72.94175316 -8.98692102, -72.96701904 -8.97882804, -72.98986715999999 -8.92075401, -73.01022408 -8.91313497, -73.02157308 -8.91319698, -73.02213396000001 -8.892930959999999, -73.02711708 -8.909326979999999, -73.03352004 -8.916036030000001, -73.04540616 -8.90275896, -73.05494508 -8.877186, -73.05663204 -8.86358304, -73.06312607999999 -8.854277039999999, -73.06374203999999 -8.84013201, -73.07286984 -8.83938303, -73.08979092 -8.817947999999999, -73.09169783999999 -8.788903019999999, -73.10752812 -8.770113, -73.11068496 -8.75833398, -73.11523896 -8.72893197, -73.12482 -8.71110099, -73.13559911999999 -8.70246603, -73.14992316 -8.683900019999999, -73.16187984 -8.688436019999999, -73.18139687999999 -8.67909204, -73.19832695999999 -8.687132999999999, -73.20906611999999 -8.685695969999999, -73.21709412 -8.67803202, -73.22258411999999 -8.678058030000001, -73.23108516000001 -8.66600496, -73.24043904 -8.666304029999999, -73.25162604 -8.653779, -73.25147592 -8.63314299, -73.25605296000001 -8.62788402, -73.26411588000001 -8.63345898, -73.26291996 -8.619614009999999, -73.27204488 -8.61462504, -73.28744495999999 -8.61948099, -73.29062787642833 -8.601583009999999, -72.84024991999999 -8.601583009999999, -72.84024991999999 -9.101583009999999, -72.94485362477492 -9.101583009999999))
9;POINT (-73.08439619791145 -8.346647627856779);POLYGON ((-73.29062787642833 -8.601583009999999, -73.29160296000001 -8.59609998, -73.28461104 -8.578202040000001, -73.28242188 -8.560577970000001, -73.28976984000001 -8.52559497, -73.30550184000001 -8.47196604, -73.32919308 -8.476908030000001, -73.33067303999999 -8.474228999999999, -73.33585992 -8.46753696, -73.34024991999999 -8.468808880461127, -73.34024991999999 -8.101583009999999, -72.84024991999999 -8.101583009999999, -72.84024991999999 -8.601583009999999, -73.29062787642833 -8.601583009999999))
