;center_point;envelope
0;POINT (-48.65196521067353 -5.299327515039877);POLYGON ((-48.60471684 -5.334992533170565, -48.60569916 -5.336118, -48.61191708 -5.33804697, -48.62966904 -5.33257398, -48.63822588 -5.31962604, -48.65103 -5.31105498, -48.67900488 -5.305437, -48.69183096 -5.31127998, -48.69877716 -5.31973998, -48.70403316 -5.34434499, -48.71169288 -5.35263102, -48.729996 -5.34761298, -48.74049108 -5.352435, -48.75471684 -5.34878199, -48.60471684 -5.231599796544002, -48.60471684 -5.334992533170565))
1;POINT (-48.31143955241851 -5.235733435192078);MULTIPOLYGON (((-48.10471684 -5.267285383268189, -48.11186412 -5.265243, -48.17811492 -5.26039299, -48.18986604 -5.25301497, -48.20607 -5.24860002, -48.23449812 -5.22792396, -48.27258792 -5.21558298, -48.29385204 -5.20353702, -48.32047404 -5.20100496, -48.32294086419557 -5.198939000000003, -48.10471684 -5.198939000000003, -48.10471684 -5.267285383268189)), ((-48.53002541255882 -5.198939000000003, -48.53117016 -5.199687, -48.54123396 -5.20756803, -48.55847796 -5.22733698, -48.56068512 -5.234463, -48.56811804 -5.26241196, -48.56814 -5.28255, -48.58369992 -5.31091296, -48.60471684 -5.334992533170565, -48.60471684 -5.231599796544002, -48.58426692 -5.21562402, -48.56280250968193 -5.198939000000003, -48.53002541255882 -5.198939000000003)))
2;POINT (-48.25130857721213 -5.074943557040195);POLYGON ((-48.32294086419557 -5.198939000000003, -48.35421612 -5.17274604, -48.36347892 -5.167998, -48.46572288 -5.18506299, -48.48589116 -5.19343803, -48.52088892 -5.19296904, -48.53002541255882 -5.198939000000003, -48.56280250968193 -5.198939000000003, -48.54867084 -5.18795397, -48.45150396 -5.11186401, -48.43271988 -5.09768397, -48.43716516 -5.08318803, -48.434193 -5.07629196, -48.42686808 -5.07491604, -48.41861508 -5.08532904, -48.39584184 -5.06999403, -48.24343404 -4.94954496, -48.211947 -4.92455304, -48.19420116 -4.91063598, -48.10471684 -4.840465481209661, -48.10471684 -5.198939000000003, -48.32294086419557 -5.198939000000003))
3;POINT (-47.65544068624003 -7.237842926693929);POLYGON ((-47.60471684 -7.270068074089783, -47.60694684 -7.27172604, -47.624499 -7.29737703, -47.631816 -7.30241199, -47.63641716 -7.30415898, -47.64903696 -7.30206, -47.65350492 -7.29780597, -47.67410484 -7.25943204, -47.69058384 -7.23790197, -47.73464604 -7.218504, -47.74322808 -7.20793296, -47.74647589172236 -7.198939000000003, -47.60471684 -7.198939000000003, -47.60471684 -7.270068074089783))
4;POINT (-47.66606183824578 -7.164001719900984);POLYGON ((-47.74647589172236 -7.198939000000003, -47.75002596 -7.18910802, -47.74772088 -7.16928399, -47.74629888 -7.16590296, -47.74123296 -7.15960602, -47.72444112 -7.14750102, -47.707092 -7.137126, -47.69363808 -7.136568, -47.67476112 -7.14731697, -47.65995 -7.15097196, -47.64403116 -7.14321603, -47.63714796 -7.13395899, -47.62640016 -7.11906903, -47.61800496 -7.09076502, -47.60471684 -7.074400318159507, -47.60471684 -7.198939000000003, -47.74647589172236 -7.198939000000003))
5;POINT (-47.7772516349527 -5.287381831971544);POLYGON ((-47.60471684 -5.463765668539608, -47.61819612 -5.45934204, -47.66634612 -5.42140497, -47.68534188 -5.41233504, -47.74389084 -5.37974802, -47.76791508 -5.37781797, -47.79256716 -5.38432803, -47.82711888 -5.38620498, -47.84333796 -5.37582501, -47.86532208 -5.345064, -47.86706988 -5.33331999, -47.86674516 -5.31114597, -47.86626708 -5.30493003, -47.86734312 -5.29776198, -47.87404992 -5.27054904, -47.88515016 -5.26031703, -47.93355684 -5.24056599, -47.95833888 -5.23935603, -47.99024208 -5.23523196, -48.00363084 -5.23423701, -48.01853016 -5.23944297, -48.050919 -5.266341, -48.07883592 -5.27468103, -48.10471684 -5.267285383268189, -48.10471684 -5.198939000000003, -47.60471684 -5.198939000000003, -47.60471684 -5.463765668539608))
6;POINT (-47.84449079981979 -4.959870308997904);POLYGON ((-48.10471684 -4.840465481209661, -48.05793396 -4.80377997, -48.02494896 -4.77791604, -47.9239290952626 -4.698939000000003, -47.60471684 -4.698939000000003, -47.60471684 -5.198939000000003, -48.10471684 -5.198939000000003, -48.10471684 -4.840465481209661))
7;POINT (-47.72992995758768 -4.648528929970568);POLYGON ((-47.9239290952626 -4.698939000000003, -47.815731 -4.61435004, -47.80470708 -4.59699102, -47.79054 -4.58594397, -47.787876 -4.58579799, -47.77044804 -4.59293598, -47.75361804 -4.59044496, -47.75036904 -4.60011204, -47.74183416 -4.59824103, -47.72439 -4.60603899, -47.71486584 -4.602663, -47.71134 -4.60289304, -47.71150308 -4.60588797, -47.701143 -4.60440297, -47.67954012 -4.60823103, -47.66594112 -4.59889596, -47.63725308 -4.57102197, -47.61151884 -4.55697999, -47.60754588 -4.54834998, -47.60471684 -4.545275226521626, -47.60471684 -4.698939000000003, -47.9239290952626 -4.698939000000003))
8;POINT (-47.17621317273095 -7.784370484379278);MULTIPOLYGON (((-47.10471684 -7.990254292560499, -47.10605904 -7.99039602, -47.10471684 -7.988741678848755, -47.10471684 -7.990254292560499)), ((-47.10471684 -7.970804038350582, -47.10627396 -7.96892202, -47.10471684 -7.968041781759573, -47.10471684 -7.970804038350582)), ((-47.10471684 -7.953022060655847, -47.10534192 -7.95279897, -47.11186296 -7.95878604, -47.11550292 -7.95218202, -47.10681108 -7.93657998, -47.11608612 -7.93850004, -47.12111208 -7.92156501, -47.12511204 -7.92474399, -47.13130404 -7.92159003, -47.14067304 -7.92487602, -47.14486308 -7.91246799, -47.14236612 -7.89443298, -47.15361216 -7.89352299, -47.16039816 -7.88741001, -47.16303408 -7.87917204, -47.17486584 -7.87067703, -47.17961604 -7.86143997, -47.17456884 -7.856397, -47.17535004 -7.85605797, -47.18672604 -7.85737998, -47.18683008 -7.84270899, -47.19608712 -7.84888704, -47.200554 -7.84464201, -47.20011804 -7.83992799, -47.20702896 -7.83939303, -47.20619484 -7.83423504, -47.21455908 -7.83515502, -47.22314004 -7.82629596, -47.23414488 -7.82351496, -47.22924816 -7.81625196, -47.23386012 -7.81916202, -47.23877988 -7.81345899, -47.24458488 -7.81510401, -47.24653104 -7.80885504, -47.23473096 -7.80366798, -47.24664084 -7.80052401, -47.24047584 -7.79362803, -47.24702712 -7.78539303, -47.24502912 -7.78113297, -47.25461304 -7.76474604, -47.24580708 -7.75811799, -47.25525096 -7.75885797, -47.25853488 -7.75551204, -47.26633608 -7.76088099, -47.26092384 -7.75135602, -47.26083492 -7.740756, -47.271879 -7.74434196, -47.270475 -7.734429, -47.27313504 -7.73062704, -47.28202704 -7.734546, -47.29294008 -7.727508, -47.30107788 -7.73445402, -47.30816412 -7.73231904, -47.31228216 -7.72970796, -47.31468012 -7.71713901, -47.31463908 -7.71712101, -47.30549904 -7.71303303, -47.31363216 -7.70601402, -47.31561396 -7.70109804, -47.31187431059972 -7.698939000000003, -47.30920433640034 -7.698939000000003, -47.30552784 -7.70325102, -47.30225508 -7.70160897, -47.30222644303929 -7.698939000000003, -47.10471684 -7.698939000000003, -47.10471684 -7.953022060655847)))
9;POINT (-47.29952845438824 -7.419260807509942);MULTIPOLYGON (((-47.30222644303929 -7.698939000000003, -47.30211612 -7.68865302, -47.33109288 -7.68481704, -47.33311392 -7.67766204, -47.33056008 -7.67366901, -47.33729712 -7.66662399, -47.32914384 -7.66270296, -47.31977988 -7.66440099, -47.313783 -7.66022499, -47.32297488 -7.65461997, -47.33536104 -7.63662699, -47.34808416 -7.63094403, -47.35121508 -7.62062796, -47.35938816 -7.61574204, -47.37183516 -7.62163704, -47.372193 -7.62357096, -47.371428 -7.62623802, -47.36692584 -7.63183296, -47.35305504 -7.64136801, -47.35216584 -7.64491896, -47.35298916 -7.64728002, -47.36467296 -7.65543402, -47.381481 -7.65366003, -47.38686408 -7.63473303, -47.38180896 -7.61859198, -47.38167 -7.59956904, -47.40374808 -7.58673504, -47.39768316 -7.57298304, -47.39780916 -7.57188603, -47.40353892 -7.56540297, -47.40844788 -7.56238104, -47.41817796 -7.56320697, -47.43796212 -7.55735103, -47.43839016 -7.55517303, -47.43574812 -7.55246898, -47.42974404 -7.54764903, -47.42492796 -7.54139799, -47.42391888 -7.53070599, -47.42722404 -7.52536503, -47.43854784 -7.52105403, -47.46104604 -7.51888296, -47.46822588 -7.53096897, -47.47478688 -7.53296598, -47.47969188 -7.52552496, -47.47985604 -7.49173302, -47.49753204 -7.47878697, -47.49970716 -7.45151301, -47.50428492 -7.43623596, -47.51986284 -7.43169096, -47.54995704 -7.43917797, -47.56284 -7.44960402, -47.59051284 -7.43911704, -47.57706288 -7.415667, -47.56345992 -7.40641896, -47.51226 -7.38630297, -47.50534008 -7.38248004, -47.49473988 -7.375428, -47.48796396 -7.36906302, -47.48393088 -7.36274502, -47.48136912 -7.35607098, -47.47967496 -7.35004998, -47.47777704 -7.33635603, -47.48427792 -7.31893302, -47.48802408 -7.312608, -47.50251408 -7.29104499, -47.53139616 -7.26890103, -47.54247192 -7.26498702, -47.58710904 -7.26332202, -47.59969716 -7.26633603, -47.60471684 -7.270068074089783, -47.60471684 -7.198939000000003, -47.10471684 -7.198939000000003, -47.10471684 -7.698939000000003, -47.30222644303929 -7.698939000000003)), ((-47.31187431059972 -7.698939000000003, -47.31008508 -7.69790601, -47.30920433640034 -7.698939000000003, -47.31187431059972 -7.698939000000003)))
10;POINT (-47.3264831406709 -6.96153826689611);POLYGON ((-47.60471684 -7.074400318159507, -47.60009388 -7.06870701, -47.59680816 -7.06300596, -47.57435712 -7.049943, -47.55742488 -7.03084599, -47.54450988 -7.01237403, -47.53508184 -6.98708601, -47.529486 -6.97613301, -47.52914616 -6.94561797, -47.50719984 -6.90679602, -47.50477812 -6.89329296, -47.50661412 -6.87161601, -47.52006696 -6.84007704, -47.52771012 -6.83532, -47.52820188 -6.83042004, -47.52311616 -6.81109704, -47.51865108 -6.79723803, -47.49390612 -6.75210699, -47.49676308 -6.72063003, -47.49588053334953 -6.698939000000003, -47.10471684 -6.698939000000003, -47.10471684 -7.198939000000003, -47.60471684 -7.198939000000003, -47.60471684 -7.074400318159507))
11;POINT (-47.26990984941653 -6.463876634383637);POLYGON ((-47.49588053334953 -6.698939000000003, -47.49579216 -6.69676698, -47.49286284 -6.68934999, -47.49821892 -6.67083897, -47.47635612 -6.63256197, -47.46542112 -6.61167603, -47.46210912 -6.60135402, -47.46398292 -6.58516401, -47.46299508 -6.57829098, -47.45838996 -6.54924096, -47.456073 -6.53788296, -47.43378108 -6.50398797, -47.42482284 -6.49697004, -47.41644888 -6.48428904, -47.41795296 -6.47748504, -47.43238608 -6.43491396, -47.43147492 -6.42507696, -47.41951392 -6.40123101, -47.41183188 -6.37605801, -47.40968016 -6.36748398, -47.41113384 -6.35018103, -47.41069896 -6.34059396, -47.40897204 -6.33166704, -47.39856984 -6.31208502, -47.38228596 -6.28051599, -47.37839616 -6.27046803, -47.38015692 -6.25141602, -47.38494384 -6.23000196, -47.40105312 -6.20885898, -47.4054464212394 -6.198939000000003, -47.10471684 -6.198939000000003, -47.10471684 -6.698939000000003, -47.49588053334953 -6.698939000000003))
12;POINT (-47.27425683531399 -5.941242186454974);POLYGON ((-47.4054464212394 -6.198939000000003, -47.41848108 -6.16950702, -47.426355 -6.14245302, -47.43101304 -6.11984898, -47.43405 -6.09270903, -47.42980488 -6.06796398, -47.42813412 -6.03756396, -47.43832284 -6.01240896, -47.44013184 -6.00907203, -47.44756008 -5.992596, -47.43008208 -5.93740998, -47.42844588 -5.91909498, -47.43244584 -5.89350798, -47.430639 -5.86882296, -47.43743292 -5.85748197, -47.44185516 -5.83039899, -47.46812796 -5.77550502, -47.48219784 -5.75891901, -47.49294996 -5.73014403, -47.49266988 -5.70965202, -47.48834762524866 -5.698939000000003, -47.10471684 -5.698939000000003, -47.10471684 -6.198939000000003, -47.4054464212394 -6.198939000000003))
13;POINT (-47.33257412761179 -5.43232341022424);POLYGON ((-47.48834762524866 -5.698939000000003, -47.47328208 -5.66159796, -47.47724496 -5.63491602, -47.47926492 -5.62132296, -47.48397804 -5.595219, -47.48283684 -5.56451298, -47.49968988 -5.52523104, -47.55494484 -5.46535098, -47.56372596 -5.46275196, -47.58008508 -5.46963201, -47.60077284 -5.46506001, -47.60471684 -5.463765668539608, -47.60471684 -5.198939000000003, -47.10471684 -5.198939000000003, -47.10471684 -5.698939000000003, -47.48834762524866 -5.698939000000003))
14;POINT (-47.35471684 -4.948939000000003);POLYGON ((-47.60471684 -5.198939000000003, -47.60471684 -4.698939000000003, -47.10471684 -4.698939000000003, -47.10471684 -5.198939000000003, -47.60471684 -5.198939000000003))
15;POINT (-47.32141879628023 -4.475484933505269);POLYGON ((-47.60471684 -4.545275226521626, -47.58105384 -4.519557, -47.56330116 -4.47417999, -47.53082196 -4.44359196, -47.53024416 -4.44282498, -47.50806708 -4.41140796, -47.50213104 -4.40238996, -47.49849288 -4.38777396, -47.48773608 -4.376349, -47.48767992 -4.36679001, -47.475891 -4.35606201, -47.48226984 -4.347774, -47.47601412 -4.34064096, -47.47911804 -4.32812304, -47.47132404 -4.32034299, -47.47431096 -4.31466696, -47.455398 -4.30512498, -47.44162584 -4.28704902, -47.43281484 -4.28390604, -47.42883504 -4.28646402, -47.42924796 -4.27582404, -47.41709688 -4.27803399, -47.41095492 -4.27011201, -47.40065388 -4.26744702, -47.38821588 -4.249503, -47.37850416 -4.24458801, -47.37134484 -4.24521, -47.37407292 -4.23448596, -47.37138012 -4.23194697, -47.37584808 -4.22953497, -47.37872988 -4.22075997, -47.37394584 -4.21717896, -47.36992284 -4.21883901, -47.37311604 -4.21440804, -47.367738 -4.20947901, -47.36876508 -4.20617898, -47.36503404 -4.20544197, -47.36639312059411 -4.198939000000003, -47.10471684 -4.198939000000003, -47.10471684 -4.698939000000003, -47.60471684 -4.698939000000003, -47.60471684 -4.545275226521626))
16;POINT (-47.20515627408099 -4.083318643273856);POLYGON ((-47.36639312059411 -4.198939000000003, -47.36746296 -4.19382, -47.35984392 -4.19099598, -47.36540592 -4.18026402, -47.35271484 -4.17640599, -47.34684396 -4.18339197, -47.33981316 -4.17666996, -47.34676512 -4.15686699, -47.34211392 -4.14774, -47.34933012 -4.14149904, -47.343024 -4.12728201, -47.34940212 -4.11630696, -47.34673488 -4.10831298, -47.34328284 -4.09854402, -47.33098488 -4.09104999, -47.33272908 -4.07588499, -47.330847 -4.06909503, -47.32524612 -4.06807002, -47.31900192 -4.04739999, -47.31393312 -4.04831304, -47.30872716 -4.05327402, -47.30992884 -4.05626796, -47.30464008 -4.05845496, -47.30298516 -4.05336501, -47.29268916 -4.05189603, -47.29348512 -4.04282601, -47.28633192 -4.04524503, -47.28496284 -4.035807, -47.27667888 -4.03365699, -47.27605284 -4.030434, -47.266983 -4.03308504, -47.26628712 -4.02432003, -47.24425296 -4.01186601, -47.238507 -3.99825603, -47.222235 -4.00092696, -47.21955516 -3.98779803, -47.20405392 -3.98794104, -47.201319 -3.973194, -47.19737916 -3.97370997, -47.19547512 -3.97866699, -47.19816684 -3.97724499, -47.19694284 -3.985029, -47.18821284 -3.97983897, -47.188242 -3.97839096, -47.19302784 -3.97493397, -47.19238884 -3.968469, -47.18113416 -3.96667899, -47.17800684 -3.96052299, -47.1816 -3.95602497, -47.18331216 -3.94727103, -47.17920096 -3.94142103, -47.17464696 -3.94466697, -47.16883584 -3.94306497, -47.16866916 -3.93821397, -47.17538604 -3.92950602, -47.16968112 -3.92881302, -47.17250316 -3.92384196, -47.14807716 -3.91411602, -47.148291 -3.89653101, -47.13850008 -3.89948598, -47.13851088 -3.90393297, -47.132019 -3.89919897, -47.13312888 -3.88696896, -47.13659784 -3.88524204, -47.13212196 -3.87828, -47.12901696 -3.88051101, -47.12840208 -3.876705, -47.121597 -3.87800397, -47.12399208 -3.88193904, -47.12171184 -3.88265202, -47.11335192 -3.87731601, -47.10620592 -3.88056897, -47.10471684 -3.874445724762021, -47.10471684 -4.198939000000003, -47.36639312059411 -4.198939000000003))
17;POINT (-46.60907055186334 -11.29526265948014);MULTIPOLYGON (((-46.60471684 -11.3230792921838, -46.604961 -11.32140897, -46.60950312 -11.30789304, -46.61552196 -11.30177502, -46.61667288 -11.28902598, -46.60873704 -11.28429702, -46.60471684 -11.27613401021892, -46.60471684 -11.3230792921838)), ((-46.60471684 -11.25977543787052, -46.60920792 -11.25549999, -46.60471684 -11.25400908691133, -46.60471684 -11.25977543787052)))
18;POINT (-46.62523950660713 -9.722364131968087);POLYGON ((-46.60471684 -9.747242500161198, -46.63180692 -9.748463040000001, -46.64183616 -9.742311000000001, -46.64699784 -9.729936990000001, -46.64519784 -9.71617401, -46.65094451902354 -9.698939000000003, -46.60471684 -9.698939000000003, -46.60471684 -9.747242500161198))
19;POINT (-46.70153898808747 -9.311562874727597);MULTIPOLYGON (((-46.65094451902354 -9.698939000000003, -46.65291408 -9.69303204, -46.65082716 -9.689631029999999, -46.61263584 -9.66539502, -46.60644204 -9.651474, -46.60569684 -9.62974998, -46.60471684 -9.628117943743574, -46.60471684 -9.698939000000003, -46.65094451902354 -9.698939000000003)), ((-46.60471684 -9.468185590320468, -46.61303292 -9.46486998, -46.62717012 -9.46531098, -46.63959696 -9.457290990000001, -46.64914308 -9.44367903, -46.64750292 -9.42673302, -46.64333484 -9.419202, -46.63236204 -9.41117697, -46.64654604 -9.40701204, -46.66555404 -9.391507020000001, -46.67450112 -9.39037302, -46.69580592 -9.398177009999999, -46.72289016 -9.39595302, -46.73752812 -9.404441009999999, -46.74061296 -9.41160996, -46.74560616 -9.413982000000001, -46.76068296 -9.409752989999999, -46.76581116 -9.40293396, -46.75825188 -9.38080602, -46.76789196 -9.365093010000001, -46.77924888 -9.358090020000001, -46.78291512 -9.35067699, -46.798749 -9.338432040000001, -46.80761292 -9.32153697, -46.81285812 -9.30435102, -46.81832904 -9.303027030000001, -46.83488904 -9.30780801, -46.84183416 -9.30403503, -46.84664016 -9.29201202, -46.84422096 -9.283762980000001, -46.83230784 -9.27918, -46.83132792 -9.26831196, -46.82233692 -9.265914, -46.81852308 -9.25964703, -46.82847204 -9.239679000000001, -46.82644416 -9.22291704, -46.81894896 -9.20894103, -46.82454677349365 -9.198939000000003, -46.60471684 -9.198939000000003, -46.60471684 -9.468185590320468)))
20;POINT (-46.78370866008601 -8.949329651551567);POLYGON ((-46.82454677349365 -9.198939000000003, -46.82738988 -9.193859010000001, -46.83886308 -9.197174970000001, -46.85028192 -9.19142901, -46.85194404 -9.185725980000001, -46.84738716 -9.16759998, -46.85199696 -9.15404004, -46.86069384 -9.146013030000001, -46.88259804 -9.142803990000001, -46.88991396 -9.140502959999999, -46.89188604 -9.137916000000001, -46.88988984 -9.126243000000001, -46.89313488 -9.121892040000001, -46.89922896 -9.126303030000001, -46.90631088 -9.135079019999999, -46.91725416 -9.131682959999999, -46.92588516 -9.13453398, -46.93137912 -9.127656, -46.931058 -9.12037896, -46.92577392 -9.117234, -46.92983292 -9.10557099, -46.92313512 -9.09747999, -46.93016592 -9.09525402, -46.92788784 -9.09216702, -46.93111488 -9.08547903, -46.92867192 -9.082928969999999, -46.91855088 -9.086778989999999, -46.911726 -9.08231499, -46.92291516 -9.06525396, -46.94257908 -9.06406398, -46.97551584 -9.081315, -46.98891792 -9.074763000000001, -46.99828188 -9.075985019999999, -47.00000412 -9.08106903, -47.00692116 -9.08178399, -47.01319596 -9.077675040000001, -47.00978496 -9.069891030000001, -47.02314384 -9.075635999999999, -47.03395392 -9.06905502, -47.04525288 -9.06810201, -47.04800004 -9.07090002, -47.06831088 -9.06346602, -47.06756892 -9.055603980000001, -47.05730604 -9.05254596, -47.06130996 -9.047724029999999, -47.05383312 -9.04775598, -47.05367004 -9.03334302, -47.04306192 -9.02613996, -47.04358716 -9.022500989999999, -47.048337 -9.021396960000001, -47.04819984 -9.015238979999999, -47.056059 -9.018462960000001, -47.06807904 -9.01161297, -47.06166888 -9.00728397, -47.043612 -9.00645804, -47.03845284 -9.000547020000001, -47.032002 -8.98587, -47.03527908 -8.978535000000001, -47.03136804 -8.979525990000001, -47.03136804 -8.987958000000001, -47.02114404 -8.98823196, -47.02114116 -8.98007103, -47.01494916 -8.975906999999999, -47.01275784 -8.966393999999999, -47.01785904 -8.95252698, -47.01259008 -8.951898959999999, -47.01083508 -8.94619602, -46.99425708 -8.945118000000001, -46.99663992 -8.93222604, -46.98350388 -8.931493980000001, -46.981971 -8.91956403, -46.96986996 -8.914084020000001, -46.975203 -8.902628999999999, -46.98236808 -8.902530990000001, -46.98597816 -8.89831701, -46.98372384 -8.894449979999999, -46.98852588 -8.89221096, -46.98564912 -8.887986, -46.99316916 -8.879832, -46.97769492 -8.86736097, -46.96513884 -8.867259990000001, -46.9593 -8.875038959999999, -46.95646716 -8.874081, -46.94113512 -8.85907098, -46.91772396 -8.856586979999999, -46.91302812 -8.84741904, -46.917891 -8.84326896, -46.91766384 -8.839288979999999, -46.91386008 -8.834812019999999, -46.90938708 -8.834868, -46.90686204 -8.828018009999999, -46.91325384 -8.822412, -46.902384 -8.81412804, -46.90613808 -8.796149010000001, -46.90253088 -8.791754040000001, -46.90330596 -8.783496, -46.90434888 -8.776611000000001, -46.90507896 -8.774533979999999, -46.91085912 -8.768365019999999, -46.90916892 -8.764125030000001, -46.91688984 -8.762033969999999, -46.91752488 -8.75087802, -46.92444516 -8.743814009999999, -46.93085784 -8.726345009999999, -46.92817512 -8.723014020000001, -46.92213792 -8.727267960000001, -46.91683404 -8.725704029999999, -46.91361204 -8.72203698, -46.91394612 -8.708175990000001, -46.90495874657827 -8.698939000000003, -46.60471684 -8.698939000000003, -46.60471684 -9.198939000000003, -46.82454677349365 -9.198939000000003))
21;POINT (-46.72996355748204 -8.541768266330768);POLYGON ((-46.90495874657827 -8.698939000000003, -46.900197 -8.694044999999999, -46.89033408 -8.690825970000001, -46.88652708 -8.686082969999999, -46.88875188 -8.66938203, -46.89581004 -8.66485602, -46.89527292 -8.65933398, -46.90347192 -8.661306959999999, -46.902195 -8.65280997, -46.90575396 -8.65393497, -46.91597112 -8.648000010000001, -46.91127204 -8.639279999999999, -46.91667204 -8.63250498, -46.91147112 -8.62641, -46.91147184 -8.61899103, -46.90683396 -8.61930504, -46.90747404 -8.61360498, -46.90461204 -8.61599799, -46.90147608 -8.612782019999999, -46.90494504 -8.60838498, -46.89830916 -8.60775102, -46.89736488 -8.604684000000001, -46.90344312 -8.60369796, -46.89730512 -8.600609970000001, -46.90353996 -8.59536198, -46.90936116 -8.59817997, -46.91013588 -8.59518396, -46.91597508 -8.595372960000001, -46.91227788 -8.59143798, -46.91339604 -8.586172980000001, -46.91025504 -8.590197959999999, -46.89861408 -8.59044501, -46.90183284 -8.585868960000001, -46.89714312 -8.583036030000001, -46.897416 -8.57633103, -46.89316692 -8.57801898, -46.89261288 -8.57014803, -46.88861292 -8.576535959999999, -46.88291988 -8.566382969999999, -46.87833816 -8.572116960000001, -46.87825104 -8.565173010000001, -46.87436412 -8.567118990000001, -46.87649892 -8.563111019999999, -46.87247304 -8.56234701, -46.87503084 -8.554893030000001, -46.86242112 -8.55868104, -46.85786712 -8.551131030000001, -46.85966784 -8.544958019999999, -46.85239404 -8.54268804, -46.85166504 -8.536628970000001, -46.84675284 -8.53382601, -46.84621788 -8.53171704, -46.85041296 -8.52541497, -46.84293 -8.52244803, -46.85173992 -8.51550597, -46.84650516 -8.510519970000001, -46.85058108 -8.503309979999999, -46.84592016 -8.50101201, -46.84811508 -8.491710960000001, -46.850616 -8.489266020000001, -46.84847796 -8.487570959999999, -46.85066496 -8.47575099, -46.84069908 -8.473095000000001, -46.84011804 -8.46522, -46.83471084 -8.46865296, -46.83190788 -8.464552019999999, -46.82495088 -8.473475970000001, -46.82469816 -8.47380096, -46.82459484 -8.47359297, -46.82036484 -8.46507096, -46.815111 -8.469951030000001, -46.79614188 -8.446226040000001, -46.80155484 -8.44360002, -46.79505792 -8.429563979999999, -46.79918892 -8.422315019999999, -46.79830116 -8.41236003, -46.80613296 -8.399043000000001, -46.80641304 -8.398566000000001, -46.80597492 -8.398783979999999, -46.79457984 -8.404452989999999, -46.78659612 -8.398693979999999, -46.78530804 -8.39496303, -46.79130492 -8.38574496, -46.78623108 -8.38183203, -46.78610904 -8.37404001, -46.78201188 -8.36767899, -46.76079384 -8.37803502, -46.74961296 -8.37359397, -46.73610792 -8.378805959999999, -46.73394684 -8.38498302, -46.72767816 -8.38598004, -46.72623096 -8.38273599, -46.72122696 -8.36811999, -46.71231012 -8.361999989999999, -46.70638992 -8.351127, -46.68500196 -8.34409602, -46.67785992 -8.336135970000001, -46.65924684 -8.33269797, -46.63481508 -8.31891699, -46.60638984 -8.328030030000001, -46.60471684 -8.328007731261774, -46.60471684 -8.698939000000003, -46.90495874657827 -8.698939000000003))
