center_point;envelope
POINT (-38.76498999999785 -7.802539999998771);POLYGON ((-39.01498999999785 -8.052539999998771, -38.51498999999785 -8.052539999998771, -38.51498999999785 -7.552539999998771, -39.01498999999785 -7.552539999998771, -39.01498999999785 -8.052539999998771))
POINT (-38.76498999999785 -7.302539999998771);POLYGON ((-39.01498999999785 -7.552539999998771, -38.51498999999785 -7.552539999998771, -38.51498999999785 -7.052539999998771, -39.01498999999785 -7.052539999998771, -39.01498999999785 -7.552539999998771))
POINT (-38.76498999999785 -6.802539999998771);POLYGON ((-39.01498999999785 -7.052539999998771, -38.51498999999785 -7.052539999998771, -38.51498999999785 -6.552539999998771, -39.01498999999785 -6.552539999998771, -39.01498999999785 -7.052539999998771))
POINT (-38.76498999999785 -6.302539999998771);POLYGON ((-39.01498999999785 -6.552539999998771, -38.51498999999785 -6.552539999998771, -38.51498999999785 -6.052539999998771, -39.01498999999785 -6.052539999998771, -39.01498999999785 -6.552539999998771))
POINT (-38.26498999999785 -8.302539999998771);POLYGON ((-38.51498999999785 -8.552539999998771, -38.01498999999785 -8.552539999998771, -38.01498999999785 -8.052539999998771, -38.51498999999785 -8.052539999998771, -38.51498999999785 -8.552539999998771))
POINT (-38.26498999999785 -7.802539999998771);POLYGON ((-38.51498999999785 -8.052539999998771, -38.01498999999785 -8.052539999998771, -38.01498999999785 -7.552539999998771, -38.51498999999785 -7.552539999998771, -38.51498999999785 -8.052539999998771))
POINT (-38.26498999999785 -7.302539999998771);POLYGON ((-38.51498999999785 -7.552539999998771, -38.01498999999785 -7.552539999998771, -38.01498999999785 -7.052539999998771, -38.51498999999785 -7.052539999998771, -38.51498999999785 -7.552539999998771))
POINT (-38.26498999999785 -6.802539999998771);POLYGON ((-38.51498999999785 -7.052539999998771, -38.01498999999785 -7.052539999998771, -38.01498999999785 -6.552539999998771, -38.51498999999785 -6.552539999998771, -38.51498999999785 -7.052539999998771))
POINT (-38.26498999999785 -6.302539999998771);POLYGON ((-38.51498999999785 -6.552539999998771, -38.01498999999785 -6.552539999998771, -38.01498999999785 -6.052539999998771, -38.51498999999785 -6.052539999998771, -38.51498999999785 -6.552539999998771))
POINT (-37.76498999999785 -7.802539999998771);POLYGON ((-38.01498999999785 -8.052539999998771, -37.51498999999785 -8.052539999998771, -37.51498999999785 -7.552539999998771, -38.01498999999785 -7.552539999998771, -38.01498999999785 -8.052539999998771))
POINT (-37.76498999999785 -7.302539999998771);POLYGON ((-38.01498999999785 -7.552539999998771, -37.51498999999785 -7.552539999998771, -37.51498999999785 -7.052539999998771, -38.01498999999785 -7.052539999998771, -38.01498999999785 -7.552539999998771))
POINT (-37.76498999999785 -6.802539999998771);POLYGON ((-38.01498999999785 -7.052539999998771, -37.51498999999785 -7.052539999998771, -37.51498999999785 -6.552539999998771, -38.01498999999785 -6.552539999998771, -38.01498999999785 -7.052539999998771))
POINT (-37.76498999999785 -6.302539999998771);POLYGON ((-38.01498999999785 -6.552539999998771, -37.51498999999785 -6.552539999998771, -37.51498999999785 -6.052539999998771, -38.01498999999785 -6.052539999998771, -38.01498999999785 -6.552539999998771))
POINT (-37.76498999999785 -5.802539999998771);POLYGON ((-38.01498999999785 -6.052539999998771, -37.51498999999785 -6.052539999998771, -37.51498999999785 -5.552539999998771, -38.01498999999785 -5.552539999998771, -38.01498999999785 -6.052539999998771))
POINT (-37.26498999999785 -8.302539999998771);POLYGON ((-37.51498999999785 -8.552539999998771, -37.01498999999785 -8.552539999998771, -37.01498999999785 -8.052539999998771, -37.51498999999785 -8.052539999998771, -37.51498999999785 -8.552539999998771))
POINT (-37.26498999999785 -7.802539999998771);POLYGON ((-37.51498999999785 -8.052539999998771, -37.01498999999785 -8.052539999998771, -37.01498999999785 -7.552539999998771, -37.51498999999785 -7.552539999998771, -37.51498999999785 -8.052539999998771))
POINT (-37.26498999999785 -7.302539999998771);POLYGON ((-37.51498999999785 -7.552539999998771, -37.01498999999785 -7.552539999998771, -37.01498999999785 -7.052539999998771, -37.51498999999785 -7.052539999998771, -37.51498999999785 -7.552539999998771))
POINT (-37.26498999999785 -6.802539999998771);POLYGON ((-37.51498999999785 -7.052539999998771, -37.01498999999785 -7.052539999998771, -37.01498999999785 -6.552539999998771, -37.51498999999785 -6.552539999998771, -37.51498999999785 -7.052539999998771))
POINT (-37.26498999999785 -6.302539999998771);POLYGON ((-37.51498999999785 -6.552539999998771, -37.01498999999785 -6.552539999998771, -37.01498999999785 -6.052539999998771, -37.51498999999785 -6.052539999998771, -37.51498999999785 -6.552539999998771))
POINT (-37.26498999999785 -5.802539999998771);POLYGON ((-37.51498999999785 -6.052539999998771, -37.01498999999785 -6.052539999998771, -37.01498999999785 -5.552539999998771, -37.51498999999785 -5.552539999998771, -37.51498999999785 -6.052539999998771))
POINT (-36.76498999999785 -8.302539999998771);POLYGON ((-37.01498999999785 -8.552539999998771, -36.51498999999785 -8.552539999998771, -36.51498999999785 -8.052539999998771, -37.01498999999785 -8.052539999998771, -37.01498999999785 -8.552539999998771))
POINT (-36.76498999999785 -7.802539999998771);POLYGON ((-37.01498999999785 -8.052539999998771, -36.51498999999785 -8.052539999998771, -36.51498999999785 -7.552539999998771, -37.01498999999785 -7.552539999998771, -37.01498999999785 -8.052539999998771))
POINT (-36.76498999999785 -7.302539999998771);POLYGON ((-37.01498999999785 -7.552539999998771, -36.51498999999785 -7.552539999998771, -36.51498999999785 -7.052539999998771, -37.01498999999785 -7.052539999998771, -37.01498999999785 -7.552539999998771))
POINT (-36.76498999999785 -6.802539999998771);POLYGON ((-37.01498999999785 -7.052539999998771, -36.51498999999785 -7.052539999998771, -36.51498999999785 -6.552539999998771, -37.01498999999785 -6.552539999998771, -37.01498999999785 -7.052539999998771))
POINT (-36.76498999999785 -6.302539999998771);POLYGON ((-37.01498999999785 -6.552539999998771, -36.51498999999785 -6.552539999998771, -36.51498999999785 -6.052539999998771, -37.01498999999785 -6.052539999998771, -37.01498999999785 -6.552539999998771))
POINT (-36.76498999999785 -5.802539999998771);POLYGON ((-37.01498999999785 -6.052539999998771, -36.51498999999785 -6.052539999998771, -36.51498999999785 -5.552539999998771, -37.01498999999785 -5.552539999998771, -37.01498999999785 -6.052539999998771))
POINT (-36.26498999999785 -8.302539999998771);POLYGON ((-36.51498999999785 -8.552539999998771, -36.01498999999785 -8.552539999998771, -36.01498999999785 -8.052539999998771, -36.51498999999785 -8.052539999998771, -36.51498999999785 -8.552539999998771))
POINT (-36.26498999999785 -7.802539999998771);POLYGON ((-36.51498999999785 -8.052539999998771, -36.01498999999785 -8.052539999998771, -36.01498999999785 -7.552539999998771, -36.51498999999785 -7.552539999998771, -36.51498999999785 -8.052539999998771))
POINT (-36.26498999999785 -7.302539999998771);POLYGON ((-36.51498999999785 -7.552539999998771, -36.01498999999785 -7.552539999998771, -36.01498999999785 -7.052539999998771, -36.51498999999785 -7.052539999998771, -36.51498999999785 -7.552539999998771))
POINT (-36.26498999999785 -6.802539999998771);POLYGON ((-36.51498999999785 -7.052539999998771, -36.01498999999785 -7.052539999998771, -36.01498999999785 -6.552539999998771, -36.51498999999785 -6.552539999998771, -36.51498999999785 -7.052539999998771))
POINT (-36.26498999999785 -6.302539999998771);POLYGON ((-36.51498999999785 -6.552539999998771, -36.01498999999785 -6.552539999998771, -36.01498999999785 -6.052539999998771, -36.51498999999785 -6.052539999998771, -36.51498999999785 -6.552539999998771))
POINT (-36.26498999999785 -5.802539999998771);POLYGON ((-36.51498999999785 -6.052539999998771, -36.01498999999785 -6.052539999998771, -36.01498999999785 -5.552539999998771, -36.51498999999785 -5.552539999998771, -36.51498999999785 -6.052539999998771))
POINT (-35.76498999999785 -7.802539999998771);POLYGON ((-36.01498999999785 -8.052539999998771, -35.51498999999785 -8.052539999998771, -35.51498999999785 -7.552539999998771, -36.01498999999785 -7.552539999998771, -36.01498999999785 -8.052539999998771))
POINT (-35.76498999999785 -7.302539999998771);POLYGON ((-36.01498999999785 -7.552539999998771, -35.51498999999785 -7.552539999998771, -35.51498999999785 -7.052539999998771, -36.01498999999785 -7.052539999998771, -36.01498999999785 -7.552539999998771))
POINT (-35.76498999999785 -6.802539999998771);POLYGON ((-36.01498999999785 -7.052539999998771, -35.51498999999785 -7.052539999998771, -35.51498999999785 -6.552539999998771, -36.01498999999785 -6.552539999998771, -36.01498999999785 -7.052539999998771))
POINT (-35.76498999999785 -6.302539999998771);POLYGON ((-36.01498999999785 -6.552539999998771, -35.51498999999785 -6.552539999998771, -35.51498999999785 -6.052539999998771, -36.01498999999785 -6.052539999998771, -36.01498999999785 -6.552539999998771))
POINT (-35.26498999999785 -7.802539999998771);POLYGON ((-35.51498999999785 -8.052539999998771, -35.01498999999785 -8.052539999998771, -35.01498999999785 -7.552539999998771, -35.51498999999785 -7.552539999998771, -35.51498999999785 -8.052539999998771))
POINT (-35.26498999999785 -7.302539999998771);POLYGON ((-35.51498999999785 -7.552539999998771, -35.01498999999785 -7.552539999998771, -35.01498999999785 -7.052539999998771, -35.51498999999785 -7.052539999998771, -35.51498999999785 -7.552539999998771))
POINT (-35.26498999999785 -6.802539999998771);POLYGON ((-35.51498999999785 -7.052539999998771, -35.01498999999785 -7.052539999998771, -35.01498999999785 -6.552539999998771, -35.51498999999785 -6.552539999998771, -35.51498999999785 -7.052539999998771))
POINT (-35.26498999999785 -6.302539999998771);POLYGON ((-35.51498999999785 -6.552539999998771, -35.01498999999785 -6.552539999998771, -35.01498999999785 -6.052539999998771, -35.51498999999785 -6.052539999998771, -35.51498999999785 -6.552539999998771))
