center_point;envelope
POINT (-36.4625 -5.7625);POLYGON ((-36.425 -5.8, -36.5 -5.8, -36.5 -5.725, -36.425 -5.725, -36.425 -5.8))
POINT (-36.4625 -5.65);POLYGON ((-36.5 -5.725, -36.5 -5.574999999999999, -36.425 -5.574999999999999, -36.425 -5.725, -36.5 -5.725))
POINT (-36.4625 -5.499999999999999);POLYGON ((-36.5 -5.574999999999999, -36.5 -5.424999999999999, -36.425 -5.424999999999999, -36.425 -5.574999999999999, -36.5 -5.574999999999999))
POINT (-36.4625 -5.35);POLYGON ((-36.5 -5.424999999999999, -36.5 -5.274999999999999, -36.425 -5.274999999999999, -36.425 -5.424999999999999, -36.5 -5.424999999999999))
POINT (-36.4625 -5.2375);POLYGON ((-36.5 -5.274999999999999, -36.5 -5.2, -36.425 -5.2, -36.425 -5.274999999999999, -36.5 -5.274999999999999))
POINT (-36.34999999999999 -5.7625);POLYGON ((-36.275 -5.8, -36.425 -5.8, -36.425 -5.725, -36.275 -5.725, -36.275 -5.8))
POINT (-36.34999999999999 -5.65);POLYGON ((-36.425 -5.725, -36.425 -5.574999999999999, -36.275 -5.574999999999999, -36.275 -5.725, -36.425 -5.725))
POINT (-36.34999999999999 -5.499999999999999);POLYGON ((-36.425 -5.574999999999999, -36.425 -5.424999999999999, -36.275 -5.424999999999999, -36.275 -5.574999999999999, -36.425 -5.574999999999999))
POINT (-36.34999999999999 -5.35);POLYGON ((-36.425 -5.424999999999999, -36.425 -5.274999999999999, -36.275 -5.274999999999999, -36.275 -5.424999999999999, -36.425 -5.424999999999999))
POINT (-36.35 -5.2375);POLYGON ((-36.425 -5.2, -36.275 -5.2, -36.275 -5.274999999999999, -36.425 -5.274999999999999, -36.425 -5.2))
POINT (-36.2 -5.7625);POLYGON ((-36.125 -5.8, -36.27500000000001 -5.8, -36.27500000000001 -5.725, -36.125 -5.725, -36.125 -5.8))
POINT (-36.2 -5.65);POLYGON ((-36.27500000000001 -5.725, -36.27500000000001 -5.574999999999999, -36.125 -5.574999999999999, -36.125 -5.725, -36.27500000000001 -5.725))
POINT (-36.2 -5.499999999999999);POLYGON ((-36.27500000000001 -5.574999999999999, -36.27500000000001 -5.424999999999999, -36.125 -5.424999999999999, -36.125 -5.574999999999999, -36.27500000000001 -5.574999999999999))
POINT (-36.2 -5.35);POLYGON ((-36.27500000000001 -5.424999999999999, -36.27500000000001 -5.274999999999999, -36.125 -5.274999999999999, -36.125 -5.424999999999999, -36.27500000000001 -5.424999999999999))
POINT (-36.2 -5.2375);POLYGON ((-36.27500000000001 -5.2, -36.125 -5.2, -36.125 -5.274999999999999, -36.27500000000001 -5.274999999999999, -36.27500000000001 -5.2))
POINT (-36.05000000000001 -5.7625);POLYGON ((-35.975 -5.8, -36.12500000000001 -5.8, -36.12500000000001 -5.725, -35.975 -5.725, -35.975 -5.8))
POINT (-36.05000000000001 -5.65);POLYGON ((-36.12500000000001 -5.725, -36.12500000000001 -5.574999999999999, -35.975 -5.574999999999999, -35.975 -5.725, -36.12500000000001 -5.725))
POINT (-36.05000000000001 -5.499999999999999);POLYGON ((-36.12500000000001 -5.574999999999999, -36.12500000000001 -5.424999999999999, -35.975 -5.424999999999999, -35.975 -5.574999999999999, -36.12500000000001 -5.574999999999999))
POINT (-36.05000000000001 -5.35);POLYGON ((-36.12500000000001 -5.424999999999999, -36.12500000000001 -5.274999999999999, -35.975 -5.274999999999999, -35.975 -5.424999999999999, -36.12500000000001 -5.424999999999999))
POINT (-36.05 -5.2375);POLYGON ((-36.12500000000001 -5.2, -35.975 -5.2, -35.975 -5.274999999999999, -36.12500000000001 -5.274999999999999, -36.12500000000001 -5.2))
POINT (-35.90000000000001 -5.7625);POLYGON ((-35.825 -5.8, -35.97500000000001 -5.8, -35.97500000000001 -5.725, -35.825 -5.725, -35.825 -5.8))
POINT (-35.90000000000001 -5.65);POLYGON ((-35.97500000000001 -5.725, -35.97500000000001 -5.574999999999999, -35.825 -5.574999999999999, -35.825 -5.725, -35.97500000000001 -5.725))
POINT (-35.90000000000001 -5.499999999999999);POLYGON ((-35.97500000000001 -5.574999999999999, -35.97500000000001 -5.424999999999999, -35.825 -5.424999999999999, -35.825 -5.574999999999999, -35.97500000000001 -5.574999999999999))
POINT (-35.90000000000001 -5.35);POLYGON ((-35.97500000000001 -5.424999999999999, -35.97500000000001 -5.274999999999999, -35.825 -5.274999999999999, -35.825 -5.424999999999999, -35.97500000000001 -5.424999999999999))
POINT (-35.90000000000001 -5.2375);POLYGON ((-35.97500000000001 -5.2, -35.825 -5.2, -35.825 -5.274999999999999, -35.97500000000001 -5.274999999999999, -35.97500000000001 -5.2))
POINT (-35.75 -5.7625);POLYGON ((-35.675 -5.8, -35.82500000000001 -5.8, -35.82500000000001 -5.725, -35.675 -5.725, -35.675 -5.8))
POINT (-35.75 -5.65);POLYGON ((-35.82500000000001 -5.725, -35.82500000000001 -5.574999999999999, -35.675 -5.574999999999999, -35.675 -5.725, -35.82500000000001 -5.725))
POINT (-35.75 -5.499999999999999);POLYGON ((-35.82500000000001 -5.574999999999999, -35.82500000000001 -5.424999999999999, -35.675 -5.424999999999999, -35.675 -5.574999999999999, -35.82500000000001 -5.574999999999999))
POINT (-35.75 -5.35);POLYGON ((-35.82500000000001 -5.424999999999999, -35.82500000000001 -5.274999999999999, -35.675 -5.274999999999999, -35.675 -5.424999999999999, -35.82500000000001 -5.424999999999999))
