center_point;envelope
POINT (-68 -18);POLYGON ((-68.25 -18.25, -67.75 -18.25, -67.75 -17.75, -68.25 -17.75, -68.25 -18.25))
POINT (-68 -17.5);POLYGON ((-68.25 -17.75, -67.75 -17.75, -67.75 -17.25, -68.25 -17.25, -68.25 -17.75))
POINT (-68 -17);POLYGON ((-68.25 -17.25, -67.75 -17.25, -67.75 -16.75, -68.25 -16.75, -68.25 -17.25))
POINT (-68 -16.5);POLYGON ((-68.25 -16.75, -67.75 -16.75, -67.75 -16.25, -68.25 -16.25, -68.25 -16.75))
POINT (-68 -16);POLYGON ((-68.25 -16.25, -67.75 -16.25, -67.75 -15.75, -68.25 -15.75, -68.25 -16.25))
POINT (-68 -15.5);POLYGON ((-68.25 -15.75, -67.75 -15.75, -67.75 -15.25, -68.25 -15.25, -68.25 -15.75))
POINT (-68 -15);POLYGON ((-68.25 -15.25, -67.75 -15.25, -67.75 -14.75, -68.25 -14.75, -68.25 -15.25))
POINT (-68 -14.5);POLYGON ((-68.25 -14.75, -67.75 -14.75, -67.75 -14.25, -68.25 -14.25, -68.25 -14.75))
POINT (-68 -14);POLYGON ((-68.25 -14.25, -67.75 -14.25, -67.75 -13.75, -68.25 -13.75, -68.25 -14.25))
POINT (-68 -13.5);POLYGON ((-68.25 -13.75, -67.75 -13.75, -67.75 -13.25, -68.25 -13.25, -68.25 -13.75))
POINT (-68 -13);POLYGON ((-68.25 -13.25, -67.75 -13.25, -67.75 -12.75, -68.25 -12.75, -68.25 -13.25))
POINT (-68 -12.5);POLYGON ((-68.25 -12.75, -67.75 -12.75, -67.75 -12.25, -68.25 -12.25, -68.25 -12.75))
POINT (-68 -12);POLYGON ((-68.25 -12.25, -67.75 -12.25, -67.75 -11.75, -68.25 -11.75, -68.25 -12.25))
POINT (-68 -11.5);POLYGON ((-68.25 -11.75, -67.75 -11.75, -67.75 -11.25, -68.25 -11.25, -68.25 -11.75))
POINT (-68 -11);POLYGON ((-68.25 -11.25, -67.75 -11.25, -67.75 -10.75, -68.25 -10.75, -68.25 -11.25))
POINT (-68 -10.5);POLYGON ((-68.25 -10.75, -67.75 -10.75, -67.75 -10.25, -68.25 -10.25, -68.25 -10.75))
POINT (-68 -10);POLYGON ((-68.25 -10.25, -67.75 -10.25, -67.75 -9.75, -68.25 -9.75, -68.25 -10.25))
POINT (-68 -9.5);POLYGON ((-68.25 -9.75, -67.75 -9.75, -67.75 -9.25, -68.25 -9.25, -68.25 -9.75))
POINT (-68 -9);POLYGON ((-68.25 -9.25, -67.75 -9.25, -67.75 -8.75, -68.25 -8.75, -68.25 -9.25))
POINT (-68 -8.5);POLYGON ((-68.25 -8.75, -67.75 -8.75, -67.75 -8.25, -68.25 -8.25, -68.25 -8.75))
POINT (-68 -8);POLYGON ((-68.25 -8.25, -67.75 -8.25, -67.75 -7.75, -68.25 -7.75, -68.25 -8.25))
POINT (-68 -7.5);POLYGON ((-68.25 -7.75, -67.75 -7.75, -67.75 -7.25, -68.25 -7.25, -68.25 -7.75))
POINT (-68 -7);POLYGON ((-68.25 -7.25, -67.75 -7.25, -67.75 -6.75, -68.25 -6.75, -68.25 -7.25))
POINT (-68 -6.5);POLYGON ((-68.25 -6.75, -67.75 -6.75, -67.75 -6.25, -68.25 -6.25, -68.25 -6.75))
POINT (-68 -6);POLYGON ((-68.25 -6.25, -67.75 -6.25, -67.75 -5.75, -68.25 -5.75, -68.25 -6.25))
POINT (-68 -5.5);POLYGON ((-68.25 -5.75, -67.75 -5.75, -67.75 -5.25, -68.25 -5.25, -68.25 -5.75))
POINT (-68 -5);POLYGON ((-68.25 -5.25, -67.75 -5.25, -67.75 -4.75, -68.25 -4.75, -68.25 -5.25))
POINT (-68 -4.5);POLYGON ((-68.25 -4.75, -67.75 -4.75, -67.75 -4.25, -68.25 -4.25, -68.25 -4.75))
POINT (-68 -4);POLYGON ((-68.25 -4.25, -67.75 -4.25, -67.75 -3.75, -68.25 -3.75, -68.25 -4.25))
POINT (-67.5 -18);POLYGON ((-67.75 -18.25, -67.25 -18.25, -67.25 -17.75, -67.75 -17.75, -67.75 -18.25))
POINT (-67.5 -17.5);POLYGON ((-67.75 -17.75, -67.25 -17.75, -67.25 -17.25, -67.75 -17.25, -67.75 -17.75))
POINT (-67.5 -17);POLYGON ((-67.75 -17.25, -67.25 -17.25, -67.25 -16.75, -67.75 -16.75, -67.75 -17.25))
POINT (-67.5 -16.5);POLYGON ((-67.75 -16.75, -67.25 -16.75, -67.25 -16.25, -67.75 -16.25, -67.75 -16.75))
POINT (-67.5 -16);POLYGON ((-67.75 -16.25, -67.25 -16.25, -67.25 -15.75, -67.75 -15.75, -67.75 -16.25))
POINT (-67.5 -15.5);POLYGON ((-67.75 -15.75, -67.25 -15.75, -67.25 -15.25, -67.75 -15.25, -67.75 -15.75))
POINT (-67.5 -15);POLYGON ((-67.75 -15.25, -67.25 -15.25, -67.25 -14.75, -67.75 -14.75, -67.75 -15.25))
POINT (-67.5 -14.5);POLYGON ((-67.75 -14.75, -67.25 -14.75, -67.25 -14.25, -67.75 -14.25, -67.75 -14.75))
POINT (-67.5 -14);POLYGON ((-67.75 -14.25, -67.25 -14.25, -67.25 -13.75, -67.75 -13.75, -67.75 -14.25))
POINT (-67.5 -13.5);POLYGON ((-67.75 -13.75, -67.25 -13.75, -67.25 -13.25, -67.75 -13.25, -67.75 -13.75))
POINT (-67.5 -13);POLYGON ((-67.75 -13.25, -67.25 -13.25, -67.25 -12.75, -67.75 -12.75, -67.75 -13.25))
POINT (-67.5 -12.5);POLYGON ((-67.75 -12.75, -67.25 -12.75, -67.25 -12.25, -67.75 -12.25, -67.75 -12.75))
POINT (-67.5 -12);POLYGON ((-67.75 -12.25, -67.25 -12.25, -67.25 -11.75, -67.75 -11.75, -67.75 -12.25))
POINT (-67.5 -11.5);POLYGON ((-67.75 -11.75, -67.25 -11.75, -67.25 -11.25, -67.75 -11.25, -67.75 -11.75))
POINT (-67.5 -11);POLYGON ((-67.75 -11.25, -67.25 -11.25, -67.25 -10.75, -67.75 -10.75, -67.75 -11.25))
POINT (-67.5 -10.5);POLYGON ((-67.75 -10.75, -67.25 -10.75, -67.25 -10.25, -67.75 -10.25, -67.75 -10.75))
POINT (-67.5 -10);POLYGON ((-67.75 -10.25, -67.25 -10.25, -67.25 -9.75, -67.75 -9.75, -67.75 -10.25))
POINT (-67.5 -9.5);POLYGON ((-67.75 -9.75, -67.25 -9.75, -67.25 -9.25, -67.75 -9.25, -67.75 -9.75))
POINT (-67.5 -9);POLYGON ((-67.75 -9.25, -67.25 -9.25, -67.25 -8.75, -67.75 -8.75, -67.75 -9.25))
POINT (-67.5 -8.5);POLYGON ((-67.75 -8.75, -67.25 -8.75, -67.25 -8.25, -67.75 -8.25, -67.75 -8.75))
POINT (-67.5 -8);POLYGON ((-67.75 -8.25, -67.25 -8.25, -67.25 -7.75, -67.75 -7.75, -67.75 -8.25))
POINT (-67.5 -7.5);POLYGON ((-67.75 -7.75, -67.25 -7.75, -67.25 -7.25, -67.75 -7.25, -67.75 -7.75))
POINT (-67.5 -7);POLYGON ((-67.75 -7.25, -67.25 -7.25, -67.25 -6.75, -67.75 -6.75, -67.75 -7.25))
POINT (-67.5 -6.5);POLYGON ((-67.75 -6.75, -67.25 -6.75, -67.25 -6.25, -67.75 -6.25, -67.75 -6.75))
POINT (-67.5 -6);POLYGON ((-67.75 -6.25, -67.25 -6.25, -67.25 -5.75, -67.75 -5.75, -67.75 -6.25))
POINT (-67.5 -5.5);POLYGON ((-67.75 -5.75, -67.25 -5.75, -67.25 -5.25, -67.75 -5.25, -67.75 -5.75))
POINT (-67.5 -5);POLYGON ((-67.75 -5.25, -67.25 -5.25, -67.25 -4.75, -67.75 -4.75, -67.75 -5.25))
POINT (-67.5 -4.5);POLYGON ((-67.75 -4.75, -67.25 -4.75, -67.25 -4.25, -67.75 -4.25, -67.75 -4.75))
POINT (-67.5 -4);POLYGON ((-67.75 -4.25, -67.25 -4.25, -67.25 -3.75, -67.75 -3.75, -67.75 -4.25))
POINT (-67 -18);POLYGON ((-67.25 -18.25, -66.75 -18.25, -66.75 -17.75, -67.25 -17.75, -67.25 -18.25))
POINT (-67 -17.5);POLYGON ((-67.25 -17.75, -66.75 -17.75, -66.75 -17.25, -67.25 -17.25, -67.25 -17.75))
POINT (-67 -17);POLYGON ((-67.25 -17.25, -66.75 -17.25, -66.75 -16.75, -67.25 -16.75, -67.25 -17.25))
POINT (-67 -16.5);POLYGON ((-67.25 -16.75, -66.75 -16.75, -66.75 -16.25, -67.25 -16.25, -67.25 -16.75))
POINT (-67 -16);POLYGON ((-67.25 -16.25, -66.75 -16.25, -66.75 -15.75, -67.25 -15.75, -67.25 -16.25))
POINT (-67 -15.5);POLYGON ((-67.25 -15.75, -66.75 -15.75, -66.75 -15.25, -67.25 -15.25, -67.25 -15.75))
POINT (-67 -15);POLYGON ((-67.25 -15.25, -66.75 -15.25, -66.75 -14.75, -67.25 -14.75, -67.25 -15.25))
POINT (-67 -14.5);POLYGON ((-67.25 -14.75, -66.75 -14.75, -66.75 -14.25, -67.25 -14.25, -67.25 -14.75))
POINT (-67 -14);POLYGON ((-67.25 -14.25, -66.75 -14.25, -66.75 -13.75, -67.25 -13.75, -67.25 -14.25))
