center_point;envelope
POINT (-38.6846174624598 -7.622460907517474);POLYGON ((-38.66498999999785 -7.657937034698215, -38.66957999999795 -7.660079999997834, -38.67242999999871 -7.65838999999869, -38.67861999999877 -7.64614999999867, -38.68638999999894 -7.634629999998651, -38.69563999999809 -7.632399999998597, -38.70504999999866 -7.621639999999388, -38.71475999999893 -7.621509999999034, -38.71723999999813 -7.626479999998992, -38.71461999999883 -7.615869999997813, -38.71793999999863 -7.608949999998003, -38.71266999999898 -7.6079499999978, -38.71217184161956 -7.602539999998774, -38.66498999999785 -7.602539999998774, -38.66498999999785 -7.657937034698215))
POINT (-38.68523991157915 -7.589288668074454);POLYGON ((-38.71217184161956 -7.602539999998774, -38.71066999999857 -7.586229999998977, -38.7022599999982 -7.580609999999069, -38.6884599999994 -7.581779999998616, -38.67948999999862 -7.574319999997897, -38.67410999999811 -7.568919999997888, -38.66498999999785 -7.567118871471653, -38.66498999999785 -7.602539999998774, -38.71217184161956 -7.602539999998774))
POINT (-38.68318869656561 -7.063647033993586);MULTIPOLYGON (((-38.66498999999785 -7.184467298868947, -38.67305999999917 -7.184889999998632, -38.68747999999869 -7.189759999999296, -38.68265999999858 -7.175579999999172, -38.67677999999796 -7.170529999999417, -38.67635999999766 -7.167169999998805, -38.68483999999808 -7.160939999997936, -38.67493999999897 -7.155319999998028, -38.67457999999897 -7.143409999998767, -38.67705999999816 -7.130529999998544, -38.6681899999985 -7.116919999998572, -38.66498999999785 -7.113344413143788, -38.66498999999785 -7.184467298868947)), ((-38.66498999999785 -7.08203180232454, -38.6663299999982 -7.081279999998515, -38.67109999999775 -7.070129999998244, -38.67688999999882 -7.0667, -38.66949999999815 -7.047299999998359, -38.67265999999836 -7.045829999999114, -38.68944999999803 -7.039829999997892, -38.69108999999844 -7.028739999997924, -38.71315999999933 -7.017679999999018, -38.71676 -7.016539999998713, -38.73023 -7.011629999999059, -38.74283372961807 -7.002539999998776, -38.66498999999785 -7.002539999998776, -38.66498999999785 -7.08203180232454)))
POINT (-38.70627280153628 -6.93696679635178);POLYGON ((-38.74283372961807 -7.002539999998776, -38.75063999999838 -6.996909999998024, -38.75832999999875 -6.998059999998077, -38.76463999999942 -6.993489999998928, -38.76061 -6.98964999999771, -38.75152999999773 -6.988179999998465, -38.74251999999797 -6.974599999997736, -38.74772 -6.966299999998228, -38.74660999999833 -6.960179999998218, -38.75694999999905 -6.957769999999073, -38.76498999999785 -6.947539999999208, -38.75536 -6.939729999998235, -38.75713999999789 -6.934219999999186, -38.76204999999936 -6.926139999997758, -38.75840999999855 -6.924879999998666, -38.75856999999814 -6.916219999999157, -38.76485999999932 -6.910509999997885, -38.75591999999779 -6.903189999999086, -38.72992999999769 -6.896409999999378, -38.73117999999886 -6.88886999999886, -38.72829999999885 -6.886969999997746, -38.71365999999944 -6.885749999997643, -38.71380999999928 -6.87637999999788, -38.70877999999902 -6.874019999999291, -38.70005999999921 -6.876199999998789, -38.68633999999838 -6.865389999999024, -38.67816999999923 -6.863659999999072, -38.67505999999776 -6.861429999999018, -38.67684999999801 -6.853929999999309, -38.67191999999886 -6.846579999999449, -38.66997999999876 -6.842969999997877, -38.67758999999933 -6.834109999997963, -38.67521999999917 -6.82981, -38.66498999999785 -6.82496577229749, -38.66498999999785 -7.002539999998776, -38.74283372961807 -7.002539999998776))
POINT (-38.66775496836656 -6.701288013964766);POLYGON ((-38.66498999999785 -6.720397574877436, -38.6659699999982 -6.719409999997879, -38.67251999999826 -6.706319999999323, -38.66967999999906 -6.702149999999165, -38.67279999999846 -6.696819999999207, -38.66498999999785 -6.681514556960243, -38.66498999999785 -6.720397574877436))
POINT (-38.5559466071898 -7.669652410699239);POLYGON ((-38.46498999999785 -7.730674534838128, -38.49016999999913 -7.734249999997701, -38.49544999999853 -7.738399999998364, -38.49621999999908 -7.749619999998686, -38.51624999999876 -7.748919999998179, -38.52932999999939 -7.754699999997683, -38.54583999999886 -7.749039999998786, -38.55977999999777 -7.756679999998596, -38.57174999999916 -7.751069999998435, -38.57446999999775 -7.753929999998945, -38.57867999999871 -7.746189999998023, -38.58959999999934 -7.755269999997836, -38.59326999999939 -7.753939999998693, -38.59737999999925 -7.741629999998622, -38.60721999999805 -7.73906999999781, -38.60760999999911 -7.725539999999455, -38.61635999999817 -7.713079999997717, -38.62496999999894 -7.707909999999174, -38.62607999999818 -7.694319999998697, -38.64095999999881 -7.686059999998179, -38.64173 -7.677229999999327, -38.65105999999832 -7.676669999998921, -38.65035999999782 -7.668159999999261, -38.65830999999889 -7.6619, -38.66323999999804 -7.657119999998031, -38.66498999999785 -7.657937034698215, -38.66498999999785 -7.602539999998774, -38.46498999999785 -7.602539999998774, -38.46498999999785 -7.730674534838128))
POINT (-38.55218777505868 -7.511198949099311);POLYGON ((-38.66498999999785 -7.567118871471653, -38.65496999999777 -7.565139999998792, -38.65877999999793 -7.560209999997824, -38.65321999999833 -7.554159999997864, -38.65612999999939 -7.545789999998306, -38.65235999999823 -7.539269999999306, -38.65113999999812 -7.527399999999034, -38.65429999999833 -7.521819999998115, -38.64611999999943 -7.51712999999836, -38.64563999999882 -7.501519999997981, -38.63054999999804 -7.486919999999373, -38.63546999999926 -7.474609999999302, -38.64133999999831 -7.464559999998528, -38.64581999999791 -7.462929999997868, -38.64455999999882 -7.459609999998065, -38.60296999999809 -7.457189999999173, -38.60248999999931 -7.453149999999368, -38.60544999999911 -7.444169999998849, -38.59571999999935 -7.438219999998182, -38.59465999999884 -7.433529999998427, -38.58389999999781 -7.432769999999437, -38.58413999999902 -7.415949999998702, -38.59576999999808 -7.414349999999104, -38.59077446573268 -7.402539999998774, -38.46498999999785 -7.402539999998774, -38.46498999999785 -7.602539999998774, -38.66498999999785 -7.602539999998774, -38.66498999999785 -7.567118871471653))
POINT (-38.51998990436523 -7.29708008426596);POLYGON ((-38.59077446573268 -7.402539999998774, -38.59002999999939 -7.400779999998122, -38.58324999999786 -7.397799999998824, -38.57612999999765 -7.376199999998789, -38.56082999999853 -7.357859999998254, -38.55185999999776 -7.340199999998731, -38.54902999999831 -7.33458999999857, -38.54872999999861 -7.325419999999212, -38.54999999999927 -7.315059999998994, -38.53975999999784 -7.305809999998019, -38.5342299999993 -7.293389999998908, -38.54227999999785 -7.277989999998681, -38.54179 -7.265499999997701, -38.55174999999872 -7.263159999998607, -38.55408999999781 -7.251449999997931, -38.55160999999862 -7.243069999998625, -38.55657999999858 -7.239279999997962, -38.58272999999826 -7.247979999998279, -38.59475999999813 -7.246119999997973, -38.60028999999849 -7.23435999999856, -38.6050699999978 -7.236469999998008, -38.61500999999771 -7.229779999997845, -38.61905999999908 -7.220319999998537, -38.62269999999808 -7.207269999998971, -38.62124804142963 -7.202539999998775, -38.46498999999785 -7.202539999998775, -38.46498999999785 -7.402539999998774, -38.59077446573268 -7.402539999998774))
POINT (-38.56321550580572 -7.101009199888868);POLYGON ((-38.62124804142963 -7.202539999998775, -38.61943999999858 -7.196649999998044, -38.62444999999934 -7.190919999999096, -38.63619999999901 -7.193349999997736, -38.64384999999857 -7.183359999999084, -38.66498999999785 -7.184467298868947, -38.66498999999785 -7.113344413143788, -38.66179999999804 -7.109779999998864, -38.65679999999884 -7.09386, -38.6594499999992 -7.085139999999228, -38.66498999999785 -7.08203180232454, -38.66498999999785 -7.002539999998776, -38.46498999999785 -7.002539999998776, -38.46498999999785 -7.202539999998775, -38.62124804142963 -7.202539999998775))
POINT (-38.56437679629359 -6.90316414586702);POLYGON ((-38.66498999999785 -6.82496577229749, -38.66142999999829 -6.823279999998704, -38.65751999999884 -6.81615999999849, -38.65526999999929 -6.813759999999093, -38.65441999999894 -6.812859999998182, -38.64807999999903 -6.806979999999385, -38.63510999999926 -6.804219999998168, -38.63600063369281 -6.802539999998777, -38.46498999999785 -6.802539999998777, -38.46498999999785 -7.002539999998776, -38.66498999999785 -7.002539999998776, -38.66498999999785 -6.82496577229749))
