,center_point,envelope,Nome_Munic,geometry
0,POINT (-38.765 -7.003),"POLYGON ((-38.79 -7.0280000000000005, -38.74 -7.0280000000000005, -38.74 -6.978, -38.79 -6.978, -38.79 -7.0280000000000005))",Cachoeira dos Índios,"POLYGON ((-38.750639999998384 -6.996909999998024, -38.75832999999875 -6.998059999998077, -38.76463999999942 -6.993489999998928, -38.76061 -6.98964999999771, -38.75152999999773 -6.988179999998465, -38.744775817377786 -6.978, -38.74 -6.978, -38.74 -7.004583728562433, -38.750639999998384 -6.996909999998024))"
1,POINT (-38.765 -6.953),"POLYGON ((-38.79 -6.978000000000001, -38.74 -6.978000000000001, -38.74 -6.928, -38.79 -6.928, -38.79 -6.978000000000001))",Cachoeira dos Índios,"POLYGON ((-38.74251999999797 -6.974599999997736, -38.74772 -6.966299999998228, -38.74660999999833 -6.960179999998218, -38.75694999999905 -6.957769999999073, -38.76498999999785 -6.947539999999208, -38.75536 -6.939729999998235, -38.75713999999789 -6.934219999999186, -38.76091972772063 -6.928, -38.74 -6.928, -38.74 -6.978000000000001, -38.744775817377786 -6.978000000000001, -38.74251999999797 -6.974599999997736))"
2,POINT (-38.765 -6.903),"POLYGON ((-38.79 -6.928, -38.74 -6.928, -38.74 -6.877999999999999, -38.79 -6.877999999999999, -38.79 -6.928))",Cachoeira dos Índios,"POLYGON ((-38.76204999999936 -6.926139999997758, -38.75840999999855 -6.924879999998666, -38.758569999998144 -6.916219999999157, -38.76485999999932 -6.910509999997885, -38.755919999997786 -6.903189999999086, -38.74 -6.899036956521597, -38.74 -6.928, -38.76091972772063 -6.928, -38.76204999999936 -6.926139999997758))"
3,POINT (-38.715 -7.653),"POLYGON ((-38.74 -7.678, -38.690000000000005 -7.678, -38.690000000000005 -7.627999999999999, -38.74 -7.627999999999999, -38.74 -7.678))",Santa Inês,"POLYGON ((-38.69563999999809 -7.632399999998597, -38.69948795538772 -7.627999999999999, -38.690000000000005 -7.627999999999999, -38.690000000000005 -7.633759697295591, -38.69563999999809 -7.632399999998597))"
4,POINT (-38.715 -7.603),"POLYGON ((-38.74 -7.628, -38.690000000000005 -7.628, -38.690000000000005 -7.577999999999999, -38.74 -7.577999999999999, -38.74 -7.628))",Santa Inês,"POLYGON ((-38.705049999998664 -7.621639999999388, -38.71475999999893 -7.621509999999034, -38.71723999999813 -7.626479999998992, -38.71461999999883 -7.615869999997813, -38.717939999998634 -7.608949999998003, -38.71266999999898 -7.6079499999978, -38.71066999999857 -7.586229999998977, -38.702259999998205 -7.580609999999069, -38.690000000000005 -7.5816494347812124, -38.690000000000005 -7.628, -38.69948795538772 -7.628, -38.705049999998664 -7.621639999999388))"
5,POINT (-38.715 -7.053),"POLYGON ((-38.74 -7.078, -38.690000000000005 -7.078, -38.690000000000005 -7.028, -38.74 -7.028, -38.74 -7.078))",Cachoeira dos Índios,"POLYGON ((-38.69108999999844 -7.028739999997924, -38.69256665460571 -7.028, -38.690000000000005 -7.028, -38.690000000000005 -7.036110792668415, -38.69108999999844 -7.028739999997924))"
6,POINT (-38.715 -7.003),"POLYGON ((-38.74 -7.0280000000000005, -38.690000000000005 -7.0280000000000005, -38.690000000000005 -6.978, -38.74 -6.978, -38.74 -7.0280000000000005))",Cachoeira dos Índios,"POLYGON ((-38.713159999999334 -7.017679999999018, -38.71676 -7.016539999998713, -38.73023 -7.011629999999059, -38.74 -7.004583728562433, -38.74 -6.978, -38.690000000000005 -6.978, -38.690000000000005 -7.0280000000000005, -38.69256665460571 -7.0280000000000005, -38.713159999999334 -7.017679999999018))"
7,POINT (-38.715 -6.953),"POLYGON ((-38.74 -6.978000000000001, -38.690000000000005 -6.978000000000001, -38.690000000000005 -6.928, -38.74 -6.928, -38.74 -6.978000000000001))",Cachoeira dos Índios,"POLYGON ((-38.74 -6.928, -38.690000000000005 -6.928, -38.690000000000005 -6.978000000000001, -38.74 -6.978000000000001, -38.74 -6.928))"
8,POINT (-38.715 -6.903),"POLYGON ((-38.74 -6.928, -38.690000000000005 -6.928, -38.690000000000005 -6.877999999999999, -38.74 -6.877999999999999, -38.74 -6.928))",Cachoeira dos Índios,"POLYGON ((-38.729929999997694 -6.896409999999378, -38.73117999999886 -6.88886999999886, -38.72829999999885 -6.886969999997746, -38.713659999999436 -6.885749999997643, -38.7137840661679 -6.877999999999999, -38.690000000000005 -6.877999999999999, -38.690000000000005 -6.928, -38.74 -6.928, -38.74 -6.899036956521597, -38.729929999997694 -6.896409999999378))"
9,POINT (-38.715 -6.853),"POLYGON ((-38.74 -6.878, -38.690000000000005 -6.878, -38.690000000000005 -6.827999999999999, -38.74 -6.827999999999999, -38.74 -6.878))",Cachoeira dos Índios,"POLYGON ((-38.713809999999285 -6.87637999999788, -38.708779999999024 -6.874019999999291, -38.70005999999921 -6.876199999998789, -38.690000000000005 -6.868273717201233, -38.690000000000005 -6.878, -38.7137840661679 -6.878, -38.713809999999285 -6.87637999999788))"
10,POINT (-38.665 -7.703),"POLYGON ((-38.69 -7.728000000000001, -38.64 -7.728000000000001, -38.64 -7.678, -38.69 -7.678, -38.69 -7.728000000000001))",Santa Inês,"POLYGON ((-38.64095999999881 -7.686059999998179, -38.641662853906965 -7.678, -38.64 -7.678, -38.64 -7.686592903223337, -38.64095999999881 -7.686059999998179))"
11,POINT (-38.665 -7.653),"POLYGON ((-38.69 -7.678, -38.64 -7.678, -38.64 -7.627999999999999, -38.69 -7.627999999999999, -38.69 -7.678))",Santa Inês,"POLYGON ((-38.64173 -7.677229999999327, -38.651059999998324 -7.676669999998921, -38.65035999999782 -7.668159999999261, -38.65830999999889 -7.6619, -38.66323999999804 -7.657119999998031, -38.66957999999795 -7.660079999997834, -38.67242999999871 -7.65838999999869, -38.67861999999877 -7.64614999999867, -38.68638999999894 -7.634629999998651, -38.69 -7.633759697295592, -38.69 -7.627999999999999, -38.64 -7.627999999999999, -38.64 -7.678, -38.641662853906965 -7.678, -38.64173 -7.677229999999327))"
12,POINT (-38.665 -7.603),"POLYGON ((-38.69 -7.628, -38.64 -7.628, -38.64 -7.577999999999999, -38.69 -7.577999999999999, -38.69 -7.628))",Conceição,"POLYGON ((-38.688459999999395 -7.581779999998616, -38.68391487935767 -7.577999999999999, -38.64 -7.577999999999999, -38.64 -7.628, -38.69 -7.628, -38.69 -7.581649434781213, -38.688459999999395 -7.581779999998616))"
13,POINT (-38.665 -7.553),"POLYGON ((-38.69 -7.578, -38.64 -7.578, -38.64 -7.528, -38.69 -7.528, -38.69 -7.578))",Conceição,"POLYGON ((-38.67948999999862 -7.574319999997897, -38.67410999999811 -7.568919999997888, -38.654969999997775 -7.565139999998792, -38.65877999999793 -7.560209999997824, -38.65321999999833 -7.554159999997864, -38.65612999999939 -7.545789999998306, -38.652359999998225 -7.539269999999306, -38.65120166806899 -7.528, -38.64 -7.528, -38.64 -7.578, -38.68391487935767 -7.578, -38.67948999999862 -7.574319999997897))"
14,POINT (-38.665 -7.503),"POLYGON ((-38.69 -7.5280000000000005, -38.64 -7.5280000000000005, -38.64 -7.478, -38.69 -7.478, -38.69 -7.5280000000000005))",Conceição,"POLYGON ((-38.65113999999812 -7.527399999999034, -38.65429999999833 -7.521819999998115, -38.64611999999943 -7.51712999999836, -38.64563999999882 -7.501519999997981, -38.64 -7.496063141153008, -38.64 -7.5280000000000005, -38.65120166806899 -7.5280000000000005, -38.65113999999812 -7.527399999999034))"
15,POINT (-38.665 -7.453),"POLYGON ((-38.69 -7.478000000000001, -38.64 -7.478000000000001, -38.64 -7.428, -38.69 -7.428, -38.69 -7.478000000000001))",Conceição,"POLYGON ((-38.64133999999831 -7.464559999998528, -38.64581999999791 -7.462929999997868, -38.64455999999882 -7.459609999998065, -38.64 -7.459344666985516, -38.64 -7.466854207832636, -38.64133999999831 -7.464559999998528))"
16,POINT (-38.665 -7.203),"POLYGON ((-38.69 -7.228000000000001, -38.64 -7.228000000000001, -38.64 -7.178, -38.69 -7.178, -38.69 -7.228000000000001))",Monte Horebe,"POLYGON ((-38.643849999998565 -7.183359999999084, -38.67305999999917 -7.184889999998632, -38.687479999998686 -7.189759999999296, -38.68348259520339 -7.178, -38.64 -7.178, -38.64 -7.188387647055645, -38.643849999998565 -7.183359999999084))"
17,POINT (-38.665 -7.153),"POLYGON ((-38.69 -7.178, -38.64 -7.178, -38.64 -7.127999999999999, -38.69 -7.127999999999999, -38.69 -7.178))",São José de Piranhas,"POLYGON ((-38.68265999999858 -7.175579999999172, -38.67677999999796 -7.170529999999417, -38.67635999999766 -7.167169999998805, -38.684839999998076 -7.160939999997936, -38.67493999999897 -7.155319999998028, -38.67457999999897 -7.143409999998767, -38.677059999998164 -7.130529999998544, -38.675411131520114 -7.127999999999999, -38.64 -7.127999999999999, -38.64 -7.178, -38.68348259520339 -7.178, -38.68265999999858 -7.175579999999172))"
18,POINT (-38.665 -7.103),"POLYGON ((-38.69 -7.128, -38.64 -7.128, -38.64 -7.077999999999999, -38.69 -7.077999999999999, -38.69 -7.128))",São José de Piranhas,"POLYGON ((-38.6681899999985 -7.116919999998572, -38.66179999999804 -7.109779999998864, -38.65679999999884 -7.09386, -38.6594499999992 -7.085139999999228, -38.6663299999982 -7.081279999998515, -38.66773319282251 -7.077999999999999, -38.64 -7.077999999999999, -38.64 -7.128, -38.675411131520114 -7.128, -38.6681899999985 -7.116919999998572))"
19,POINT (-38.665 -7.053),"POLYGON ((-38.69 -7.078, -38.64 -7.078, -38.64 -7.028, -38.69 -7.028, -38.69 -7.078))",Cachoeira dos Índios,"POLYGON ((-38.67109999999775 -7.070129999998244, -38.67688999999882 -7.0667, -38.66949999999815 -7.047299999998359, -38.67265999999836 -7.045829999999114, -38.68944999999803 -7.039829999997892, -38.69 -7.036110792668463, -38.69 -7.028, -38.64 -7.028, -38.64 -7.078, -38.66773319282251 -7.078, -38.67109999999775 -7.070129999998244))"
